threshold,reward,delta_vs_BS,n_switches,switch_rate,beats_BS
0.5,0.6899999976158142,0.08166664838790894,498,0.83,True
0.6,0.6916666626930237,0.08333331346511841,405,0.675,True
0.7,0.6133333444595337,0.004999995231628418,196,0.32666666666666666,True
0.8,0.6083333492279053,0.0,0,0.0,False
0.9,0.6083333492279053,0.0,0,0.0,False
