task,n,PolicyClone,PrototypeOutcome,AEP,GoalInference,SafeFallback,actual_best,expected_best,taxonomy_match,best_second_margin,specialization_index,capital_dominance
Task_A,150,1.0,0.20000000298023224,0.5733333230018616,0.006666666828095913,0.07999999821186066,PolicyClone,PolicyClone,True,0.4266666769981384,0.6303419008606632,2.68817198372348
Task_B,150,0.3466666638851166,0.8533333539962769,0.9200000166893005,0.14000000059604645,0.3333333432674408,AEP,AEP,True,0.06666666269302368,0.6900351196794519,1.773778887439059
Task_C,150,0.1733333319425583,1.0,0.9133333563804626,0.0,0.10000000149011612,PrototypeOutcome,PrototypeOutcome,True,0.08666664361953735,0.5715329600377959,2.2865852893647975
Task_D,150,0.02666666731238365,0.006666666828095913,0.02666666731238365,0.019999999552965164,0.013333333656191826,PolicyClone,GoalInference,False,0.0,0.9922253973172265,1.4285706775206564
