seed,mechanism,best_action_match,regret,rank_accuracy,outcome_mse,parameter_count,cost_bytes,n_train,n_test
0,learned_state_only,0.74,-0.4236551523208618,0.6083333333333333,85.73236083984375,9555,38220.0,1200,200
0,learned_action_only,0.46,-0.15990003943443298,0.475,32.67594909667969,3,12.0,1200,200
0,raw_memory_full,0.22,-0.31563541293144226,0.595,0.33670344948768616,28800,115200.0,1200,200
0,raw_memory_equal_cost,0.185,-0.3404490649700165,0.565,0.5471065044403076,2376,9504.0,1200,200
0,prototype_memory,0.095,-0.3552850967645645,0.54,0.6349343613283971,480,1920.0,1200,200
0,aep_compressor,0.375,-0.19043293595314026,0.7083333333333334,0.12230861932039261,13033,52132.0,1200,200
0,residual_compressor,0.565,-0.15796250104904175,0.7683333333333333,0.10607582330703735,8630,34520.0,1200,200
0,centered_residual,0.62,-0.17268651723861694,0.7716666666666666,0.12868280708789825,8630,34520.0,1200,200
0,counterfactual_compressor,0.775,-0.38420388102531433,0.6816666666666666,29.770416259765625,9555,38220.0,1200,200
0,causal_contrast,0.435,-0.19780319929122925,0.7133333333333334,0.1341428905725479,8307,33228.0,1200,200
0,residual_adversarial,0.57,-0.18544073402881622,0.7616666666666667,0.13545918464660645,10119,40476.0,1200,200
0,shuffled_action_control,0.15,-0.08764331042766571,0.5216666666666666,0.8055334687232971,8630,34520.0,1200,200
0,permuted_history_control,0.53,-0.18634004890918732,0.7483333333333333,0.13240419328212738,8630,34520.0,1200,200
1,learned_state_only,0.815,-0.3363431692123413,0.6416666666666667,61.666133880615234,9555,38220.0,1200,200
1,learned_action_only,0.505,-0.14631812274456024,0.49,30.987483978271484,3,12.0,1200,200
1,raw_memory_full,0.22,-0.2756834924221039,0.625,0.3028261661529541,28800,115200.0,1200,200
1,raw_memory_equal_cost,0.12,-0.33359432220458984,0.5616666666666666,0.6838133335113525,2376,9504.0,1200,200
1,prototype_memory,0.1,-0.3502126581966877,0.5583333333333333,0.6816208533148373,480,1920.0,1200,200
1,aep_compressor,0.515,-0.17714105546474457,0.7483333333333333,0.11930883675813675,13033,52132.0,1200,200
1,residual_compressor,0.49,-0.16108736395835876,0.7633333333333333,0.11204930394887924,8630,34520.0,1200,200
1,centered_residual,0.565,-0.14365343749523163,0.7766666666666666,0.09967566281557083,8630,34520.0,1200,200
1,counterfactual_compressor,0.765,-0.3360137939453125,0.6733333333333333,29.237926483154297,9555,38220.0,1200,200
1,causal_contrast,0.47,-0.15396037697792053,0.7616666666666667,0.12413102388381958,8307,33228.0,1200,200
1,residual_adversarial,0.515,-0.17802700400352478,0.755,0.13034385442733765,10119,40476.0,1200,200
1,shuffled_action_control,0.505,-0.015772754326462746,0.495,0.8314146399497986,8630,34520.0,1200,200
1,permuted_history_control,0.515,-0.16474980115890503,0.7583333333333333,0.11503079533576965,8630,34520.0,1200,200
2,learned_state_only,0.82,-0.2408304065465927,0.65,49.812294006347656,9555,38220.0,1200,200
2,learned_action_only,0.495,-0.18277707695960999,0.49166666666666664,30.387617111206055,3,12.0,1200,200
2,raw_memory_full,0.23,-0.2591991424560547,0.645,0.2860249876976013,28800,115200.0,1200,200
2,raw_memory_equal_cost,0.135,-0.3482433557510376,0.56,0.6020198464393616,2376,9504.0,1200,200
2,prototype_memory,0.05,-0.3555765902996063,0.545,0.7127536482156459,480,1920.0,1200,200
2,aep_compressor,0.44,-0.17122460901737213,0.7466666666666667,0.11091543734073639,13033,52132.0,1200,200
2,residual_compressor,0.545,-0.16038817167282104,0.7816666666666666,0.10317873954772949,8630,34520.0,1200,200
2,centered_residual,0.55,-0.16150356829166412,0.775,0.10394633561372757,8630,34520.0,1200,200
2,counterfactual_compressor,0.795,-0.22678722441196442,0.705,25.984466552734375,9555,38220.0,1200,200
2,causal_contrast,0.34,-0.17374633252620697,0.715,0.1008317768573761,8307,33228.0,1200,200
2,residual_adversarial,0.66,-0.15356044471263885,0.8,0.1108819842338562,10119,40476.0,1200,200
2,shuffled_action_control,0.495,-0.06957881897687912,0.5216666666666666,0.7933985590934753,8630,34520.0,1200,200
2,permuted_history_control,0.58,-0.17977553606033325,0.7683333333333333,0.12329857796430588,8630,34520.0,1200,200
3,learned_state_only,0.76,-0.35986191034317017,0.6583333333333333,51.21821594238281,9555,38220.0,1200,200
3,learned_action_only,0.455,-0.22279104590415955,0.4533333333333333,35.149009704589844,3,12.0,1200,200
3,raw_memory_full,0.26,-0.2605922818183899,0.64,0.29413020610809326,28800,115200.0,1200,200
3,raw_memory_equal_cost,0.205,-0.3136448562145233,0.575,0.5081348419189453,2376,9504.0,1200,200
3,prototype_memory,0.175,-0.32274950385093687,0.5583333333333333,0.63025948326596,480,1920.0,1200,200
3,aep_compressor,0.475,-0.18555189669132233,0.745,0.11249639838933945,13033,52132.0,1200,200
3,residual_compressor,0.565,-0.16348609328269958,0.75,0.11461123079061508,8630,34520.0,1200,200
3,centered_residual,0.51,-0.1878587007522583,0.7433333333333333,0.12987524271011353,8630,34520.0,1200,200
3,counterfactual_compressor,0.79,-0.25545117259025574,0.6783333333333333,31.73516845703125,9555,38220.0,1200,200
3,causal_contrast,0.395,-0.1835067719221115,0.7266666666666667,0.10114698857069016,8307,33228.0,1200,200
3,residual_adversarial,0.51,-0.1558714359998703,0.7533333333333333,0.10285091400146484,10119,40476.0,1200,200
3,shuffled_action_control,0.175,-0.1761053502559662,0.57,0.5324141979217529,8630,34520.0,1200,200
