threshold,margin,val_reward,test_reward,delta_vs_BS,switch_count,beneficial_switch_rate,harmful_switch_rate,false_switch_rate
0.5,0.0,0.6200000047683716,0.8500000238418579,0.10000002384185791,197,0.10152284263959391,0.0,0.15228426395939088
0.5,0.02,0.6200000047683716,0.8500000238418579,0.10000002384185791,197,0.10152284263959391,0.0,0.15228426395939088
0.5,0.05,0.6200000047683716,0.8500000238418579,0.10000002384185791,197,0.10152284263959391,0.0,0.15228426395939088
0.5,0.1,0.6200000047683716,0.8500000238418579,0.10000002384185791,197,0.10152284263959391,0.0,0.15228426395939088
0.6,0.0,0.6324999928474426,0.8349999785423279,0.08499997854232788,184,0.09239130434782608,0.0,0.14130434782608695
0.6,0.02,0.6324999928474426,0.8349999785423279,0.08499997854232788,184,0.09239130434782608,0.0,0.14130434782608695
0.6,0.05,0.6324999928474426,0.8349999785423279,0.08499997854232788,184,0.09239130434782608,0.0,0.14130434782608695
0.6,0.1,0.6324999928474426,0.8349999785423279,0.08499997854232788,184,0.09239130434782608,0.0,0.14130434782608695
0.7,0.0,0.6299999952316284,0.824999988079071,0.07499998807907104,171,0.08771929824561403,0.0,0.12280701754385964
0.7,0.02,0.6299999952316284,0.824999988079071,0.07499998807907104,171,0.08771929824561403,0.0,0.12280701754385964
0.7,0.05,0.6299999952316284,0.824999988079071,0.07499998807907104,171,0.08771929824561403,0.0,0.12280701754385964
0.7,0.1,0.6299999952316284,0.824999988079071,0.07499998807907104,171,0.08771929824561403,0.0,0.12280701754385964
0.8,0.0,0.625,0.800000011920929,0.050000011920928955,159,0.06289308176100629,0.0,0.12578616352201258
0.8,0.02,0.625,0.800000011920929,0.050000011920928955,159,0.06289308176100629,0.0,0.12578616352201258
0.8,0.05,0.625,0.800000011920929,0.050000011920928955,159,0.06289308176100629,0.0,0.12578616352201258
0.8,0.1,0.625,0.800000011920929,0.050000011920928955,159,0.06289308176100629,0.0,0.12578616352201258
0.9,0.0,0.6175000071525574,0.7950000166893005,0.04500001668930054,131,0.06870229007633588,0.0,0.1450381679389313
0.9,0.02,0.6175000071525574,0.7950000166893005,0.04500001668930054,131,0.06870229007633588,0.0,0.1450381679389313
0.9,0.05,0.6175000071525574,0.7950000166893005,0.04500001668930054,131,0.06870229007633588,0.0,0.1450381679389313
0.9,0.1,0.6175000071525574,0.7950000166893005,0.04500001668930054,131,0.06870229007633588,0.0,0.1450381679389313
0.5,0.0,0.5950000286102295,0.949999988079071,0.11000001430511475,200,0.125,0.015,0.05
0.5,0.02,0.5950000286102295,0.949999988079071,0.11000001430511475,200,0.125,0.015,0.05
0.5,0.05,0.5950000286102295,0.949999988079071,0.11000001430511475,200,0.125,0.015,0.05
0.5,0.1,0.5950000286102295,0.949999988079071,0.11000001430511475,200,0.125,0.015,0.05
0.6,0.0,0.5874999761581421,0.9449999928474426,0.10500001907348633,183,0.12568306010928962,0.01092896174863388,0.03278688524590164
0.6,0.02,0.5874999761581421,0.9449999928474426,0.10500001907348633,183,0.12568306010928962,0.01092896174863388,0.03278688524590164
0.6,0.05,0.5874999761581421,0.9449999928474426,0.10500001907348633,183,0.12568306010928962,0.01092896174863388,0.03278688524590164
0.6,0.1,0.5874999761581421,0.9449999928474426,0.10500001907348633,183,0.12568306010928962,0.01092896174863388,0.03278688524590164
0.7,0.0,0.5799999833106995,0.9449999928474426,0.10500001907348633,173,0.12138728323699421,0.0,0.011560693641618497
0.7,0.02,0.5799999833106995,0.9449999928474426,0.10500001907348633,173,0.12138728323699421,0.0,0.011560693641618497
0.7,0.05,0.5799999833106995,0.9449999928474426,0.10500001907348633,173,0.12138728323699421,0.0,0.011560693641618497
0.7,0.1,0.5799999833106995,0.9449999928474426,0.10500001907348633,173,0.12138728323699421,0.0,0.011560693641618497
0.8,0.0,0.574999988079071,0.9399999976158142,0.10000002384185791,167,0.11976047904191617,0.0,0.005988023952095809
0.8,0.02,0.574999988079071,0.9399999976158142,0.10000002384185791,167,0.11976047904191617,0.0,0.005988023952095809
0.8,0.05,0.574999988079071,0.9399999976158142,0.10000002384185791,167,0.11976047904191617,0.0,0.005988023952095809
0.8,0.1,0.574999988079071,0.9399999976158142,0.10000002384185791,167,0.11976047904191617,0.0,0.005988023952095809
0.9,0.0,0.5699999928474426,0.9200000166893005,0.08000004291534424,143,0.11188811188811189,0.0,0.0
0.9,0.02,0.5699999928474426,0.9200000166893005,0.08000004291534424,143,0.11188811188811189,0.0,0.0
0.9,0.05,0.5699999928474426,0.9200000166893005,0.08000004291534424,143,0.11188811188811189,0.0,0.0
0.9,0.1,0.5699999928474426,0.9200000166893005,0.08000004291534424,143,0.11188811188811189,0.0,0.0
0.5,0.0,0.7275000214576721,0.6700000166893005,0.07499998807907104,199,0.07537688442211055,0.0,0.32663316582914576
0.5,0.02,0.7275000214576721,0.6700000166893005,0.07499998807907104,199,0.07537688442211055,0.0,0.32663316582914576
0.5,0.05,0.7275000214576721,0.6700000166893005,0.07499998807907104,199,0.07537688442211055,0.0,0.32663316582914576
0.5,0.1,0.7275000214576721,0.6700000166893005,0.07499998807907104,199,0.07537688442211055,0.0,0.32663316582914576
