scenario,mean_selector_reward,mean_delta_vs_BS,positive_seeds,mean_oracle_gap
train_ABC_test_D,0.018666666839271782,0.0033333331346511843,5,0.047333332058042285
train_AB_test_C,0.6779999971389771,-0.20199999809265137,0,0.318666672706604
train_AC_test_B,0.7360000073909759,-0.19399999976158142,0,0.2573333323001862
train_BC_test_A,0.7846666574478149,0.05133330821990967,10,0.2133333444595337
