step,seed_added,n_samples,n_centroids,nn_tested,nn_preserved,rrp
1,0,1200,20,100,72,0.72
2,1,2400,20,100,68,0.68
3,2,3600,20,100,64,0.64
4,3,4800,20,100,64,0.64
5,4,6000,20,100,70,0.7
