seed,horizon,conditional_rvr,within_state_action_var,within_state_total_var,global_rvr
0,1,3.588140484385388,0.21521136427469587,0.05997852236032486,0.12053141691021667
0,3,3.95182392967887,1.6610464324713217,0.4203239977359772,0.6262361935201233
0,5,3.807012268072926,0.854749875626027,0.22451986372470856,0.05845588283457635
1,1,3.620891220151338,0.22262307762796651,0.061482951045036316,0.12509106066463072
1,3,3.8371958865717444,0.4442177481683876,0.115766242146492,0.10051118939336309
1,5,3.928854991543769,0.9579514428367832,0.24382458627223969,0.12462675455188434
2,1,3.3931968242228727,0.22619606854445828,0.06666164100170135,0.1422716868274484
2,3,3.939337056953973,1.7508668479995027,0.4444572329521179,0.6880111024138296
2,5,3.9789671687133175,4.375450477499621,1.0996447801589966,1.004544648185935
3,1,3.547260512738953,0.2016128176760015,0.05683620274066925,0.1412960875932903
3,3,3.948766141695256,1.5771482425691523,0.39940279722213745,0.68429160451555
3,5,3.983444870809919,3.918072768771053,0.9835890531539917,0.9921345488991237
4,1,3.6828737523725397,0.22478772467646171,0.06103595718741417,0.09450926496455464
4,3,3.9407205726080035,1.7566396067411596,0.4457660913467407,0.5545751910801788
4,5,3.9684226648058885,4.3235305393820465,1.089483380317688,0.8943436290382082
5,1,3.616417088939972,0.21870496281800456,0.06047559157013893,0.11230560293936191
5,3,3.9486359052987514,1.695241929754789,0.4293234348297119,0.6028990241393646
5,5,3.8885351658641896,0.8561282656545603,0.22016729414463043,0.05474101913018322
6,1,3.5382913718284965,0.23171276316735287,0.06548719108104706,0.11703809378756086
6,3,3.9137282472400807,1.7624405062963064,0.4503226578235626,0.6131639518611454
6,5,3.9755850974513276,4.2976291734381205,1.0810054540634155,0.9408377025669746
7,1,3.4986906765695056,0.21615885301230667,0.06178278475999832,0.11887406496835277
7,3,3.7579355343860006,0.4799714719472117,0.1277221143245697,0.12281120240501839
7,5,3.7371315472733238,0.9034617495120635,0.2417527288198471,0.08514439322966699
8,1,3.5953045676014392,0.2190247357192361,0.060919661074876785,0.1303250713503927
8,3,3.9533876598618316,1.6588244173691984,0.4195956885814667,0.6460796201545177
8,5,3.976925708834649,4.10373104413213,1.0318852663040161,0.9645168417386769
9,1,3.5868446651376242,0.21037670410542517,0.058652304112911224,0.12527246896575917
9,3,3.9514430154650597,1.610607998438695,0.40759995579719543,0.6332591881952668
9,5,3.9428873568899667,1.7365810974507698,0.4404338598251343,0.5160584902230462
