threshold,margin,test_reward,delta_vs_BS,switch_count,beneficial_switch_rate,harmful_switch_rate,false_switch_rate
0.5,0.0,0.7699999809265137,0.2849999666213989,186,0.3225806451612903,0.016129032258064516,0.17204301075268819
0.5,0.0,0.7950000166893005,0.3450000286102295,186,0.3817204301075269,0.010752688172043012,0.14516129032258066
0.5,0.0,0.6949999928474426,0.3400000035762787,158,0.43037974683544306,0.0,0.12025316455696203
0.5,0.0,0.7400000095367432,0.35500001907348633,160,0.44375,0.0,0.075
0.5,0.0,0.7200000286102295,0.35500001907348633,166,0.43373493975903615,0.006024096385542169,0.13253012048192772
0.5,0.0,0.5699999928474426,0.1899999976158142,163,0.25153374233128833,0.018404907975460124,0.3006134969325153
0.5,0.0,0.5249999761581421,0.10499998927116394,169,0.15976331360946747,0.03550295857988166,0.378698224852071
0.5,0.0,0.8399999737739563,0.39499998092651367,185,0.42702702702702705,0.0,0.0918918918918919
0.5,0.0,0.6299999952316284,0.21000000834465027,176,0.24431818181818182,0.005681818181818182,0.2840909090909091
0.5,0.0,0.6949999928474426,0.35499998927116394,163,0.43558282208588955,0.0,0.147239263803681
