configuration,mean_sr_pred_acc,mean_selector_reward,mean_delta_vs_BS
full,0.9791666666666666,0.734333336353302,0.33266666531562805
suppress_k10,0.251,0.3339999973773956,-0.06766667366027831
suppress_k20,0.25,0.3166666626930237,-0.08500000834465027
suppress_k5,0.2995,0.3376666665077209,-0.064000004529953
