step,strategy,best_action_match,n_seeds,level
1,kmeans_20,0.095,20,S1
2,kmeans_20,0.095,20,S1
3,kmeans_20,0.095,20,S1
4,kmeans_20,0.095,20,S1
5,kmeans_20,0.115,20,S1
6,kmeans_20,0.095,20,S1
7,kmeans_20,0.095,20,S1
8,kmeans_20,0.095,20,S1
9,kmeans_20,0.095,20,S1
10,kmeans_20,0.095,20,S1
11,kmeans_20,0.095,20,S1
12,kmeans_20,0.095,20,S1
13,kmeans_20,0.095,20,S1
14,kmeans_20,0.095,20,S1
15,kmeans_20,0.095,20,S1
16,kmeans_20,0.095,20,S1
17,kmeans_20,0.095,20,S1
18,kmeans_20,0.095,20,S1
19,kmeans_20,0.095,20,S1
20,kmeans_20,0.095,20,S1
1,y_aware_w5.0,0.555,20,S1
2,y_aware_w5.0,0.575,20,S1
3,y_aware_w5.0,0.56,20,S1
4,y_aware_w5.0,0.58,20,S1
5,y_aware_w5.0,0.5,20,S1
6,y_aware_w5.0,0.605,20,S1
7,y_aware_w5.0,0.545,20,S1
8,y_aware_w5.0,0.595,20,S1
9,y_aware_w5.0,0.565,20,S1
10,y_aware_w5.0,0.585,20,S1
11,y_aware_w5.0,0.52,20,S1
12,y_aware_w5.0,0.53,20,S1
13,y_aware_w5.0,0.525,20,S1
14,y_aware_w5.0,0.54,20,S1
15,y_aware_w5.0,0.53,20,S1
16,y_aware_w5.0,0.51,20,S1
17,y_aware_w5.0,0.52,20,S1
18,y_aware_w5.0,0.505,20,S1
19,y_aware_w5.0,0.585,20,S1
20,y_aware_w5.0,0.53,20,S1
1,per_action_kmeans,0.59,20,S1
2,per_action_kmeans,0.555,20,S1
3,per_action_kmeans,0.605,20,S1
4,per_action_kmeans,0.54,20,S1
5,per_action_kmeans,0.585,20,S1
6,per_action_kmeans,0.585,20,S1
7,per_action_kmeans,0.57,20,S1
8,per_action_kmeans,0.625,20,S1
9,per_action_kmeans,0.565,20,S1
10,per_action_kmeans,0.59,20,S1
11,per_action_kmeans,0.595,20,S1
12,per_action_kmeans,0.61,20,S1
13,per_action_kmeans,0.59,20,S1
14,per_action_kmeans,0.665,20,S1
15,per_action_kmeans,0.595,20,S1
16,per_action_kmeans,0.655,20,S1
17,per_action_kmeans,0.67,20,S1
18,per_action_kmeans,0.605,20,S1
19,per_action_kmeans,0.605,20,S1
20,per_action_kmeans,0.635,20,S1
1,adaptive_per_action,0.53,20,S1
2,adaptive_per_action,0.52,20,S1
3,adaptive_per_action,0.56,20,S1
4,adaptive_per_action,0.6,20,S1
5,adaptive_per_action,0.63,20,S1
6,adaptive_per_action,0.635,20,S1
7,adaptive_per_action,0.56,20,S1
8,adaptive_per_action,0.585,20,S1
9,adaptive_per_action,0.58,20,S1
10,adaptive_per_action,0.57,20,S1
11,adaptive_per_action,0.61,20,S1
12,adaptive_per_action,0.575,20,S1
13,adaptive_per_action,0.615,20,S1
14,adaptive_per_action,0.59,20,S1
15,adaptive_per_action,0.605,20,S1
16,adaptive_per_action,0.605,20,S1
17,adaptive_per_action,0.645,20,S1
18,adaptive_per_action,0.58,20,S1
19,adaptive_per_action,0.6,20,S1
20,adaptive_per_action,0.64,20,S1
1,nomemory,0.46,20,S1
2,nomemory,0.445,20,S1
3,nomemory,0.445,20,S1
4,nomemory,0.445,20,S1
5,nomemory,0.445,20,S1
6,nomemory,0.445,20,S1
7,nomemory,0.445,20,S1
8,nomemory,0.445,20,S1
9,nomemory,0.445,20,S1
10,nomemory,0.445,20,S1
11,nomemory,0.445,20,S1
12,nomemory,0.445,20,S1
13,nomemory,0.445,20,S1
14,nomemory,0.445,20,S1
15,nomemory,0.445,20,S1
16,nomemory,0.445,20,S1
17,nomemory,0.445,20,S1
18,nomemory,0.445,20,S1
19,nomemory,0.445,20,S1
20,nomemory,0.445,20,S1
