step,strategy,best_action_match,n_seeds,level
1,kmeans_20,0.095,100,S3
2,kmeans_20,0.095,100,S3
3,kmeans_20,0.095,100,S3
4,kmeans_20,0.095,100,S3
5,kmeans_20,0.115,100,S3
6,kmeans_20,0.095,100,S3
7,kmeans_20,0.095,100,S3
8,kmeans_20,0.095,100,S3
9,kmeans_20,0.095,100,S3
10,kmeans_20,0.095,100,S3
11,kmeans_20,0.095,100,S3
12,kmeans_20,0.095,100,S3
13,kmeans_20,0.095,100,S3
14,kmeans_20,0.095,100,S3
15,kmeans_20,0.095,100,S3
16,kmeans_20,0.095,100,S3
17,kmeans_20,0.095,100,S3
18,kmeans_20,0.095,100,S3
19,kmeans_20,0.095,100,S3
20,kmeans_20,0.095,100,S3
21,kmeans_20,0.095,100,S3
22,kmeans_20,0.095,100,S3
23,kmeans_20,0.095,100,S3
24,kmeans_20,0.095,100,S3
25,kmeans_20,0.095,100,S3
26,kmeans_20,0.095,100,S3
27,kmeans_20,0.095,100,S3
28,kmeans_20,0.095,100,S3
29,kmeans_20,0.095,100,S3
30,kmeans_20,0.095,100,S3
31,kmeans_20,0.095,100,S3
32,kmeans_20,0.095,100,S3
33,kmeans_20,0.095,100,S3
34,kmeans_20,0.095,100,S3
35,kmeans_20,0.095,100,S3
36,kmeans_20,0.095,100,S3
37,kmeans_20,0.095,100,S3
38,kmeans_20,0.095,100,S3
39,kmeans_20,0.095,100,S3
40,kmeans_20,0.095,100,S3
41,kmeans_20,0.095,100,S3
42,kmeans_20,0.095,100,S3
43,kmeans_20,0.095,100,S3
44,kmeans_20,0.095,100,S3
45,kmeans_20,0.095,100,S3
46,kmeans_20,0.095,100,S3
47,kmeans_20,0.095,100,S3
48,kmeans_20,0.095,100,S3
49,kmeans_20,0.095,100,S3
50,kmeans_20,0.095,100,S3
51,kmeans_20,0.095,100,S3
52,kmeans_20,0.095,100,S3
53,kmeans_20,0.095,100,S3
54,kmeans_20,0.095,100,S3
55,kmeans_20,0.095,100,S3
56,kmeans_20,0.095,100,S3
57,kmeans_20,0.095,100,S3
58,kmeans_20,0.095,100,S3
59,kmeans_20,0.095,100,S3
60,kmeans_20,0.095,100,S3
61,kmeans_20,0.095,100,S3
62,kmeans_20,0.095,100,S3
63,kmeans_20,0.095,100,S3
64,kmeans_20,0.095,100,S3
65,kmeans_20,0.095,100,S3
66,kmeans_20,0.095,100,S3
67,kmeans_20,0.095,100,S3
68,kmeans_20,0.095,100,S3
69,kmeans_20,0.095,100,S3
70,kmeans_20,0.095,100,S3
71,kmeans_20,0.095,100,S3
72,kmeans_20,0.095,100,S3
73,kmeans_20,0.095,100,S3
74,kmeans_20,0.095,100,S3
75,kmeans_20,0.095,100,S3
76,kmeans_20,0.095,100,S3
77,kmeans_20,0.095,100,S3
78,kmeans_20,0.095,100,S3
79,kmeans_20,0.095,100,S3
80,kmeans_20,0.095,100,S3
81,kmeans_20,0.095,100,S3
82,kmeans_20,0.095,100,S3
83,kmeans_20,0.095,100,S3
84,kmeans_20,0.095,100,S3
85,kmeans_20,0.095,100,S3
86,kmeans_20,0.095,100,S3
87,kmeans_20,0.095,100,S3
88,kmeans_20,0.095,100,S3
89,kmeans_20,0.095,100,S3
90,kmeans_20,0.095,100,S3
91,kmeans_20,0.095,100,S3
92,kmeans_20,0.095,100,S3
93,kmeans_20,0.095,100,S3
94,kmeans_20,0.095,100,S3
95,kmeans_20,0.095,100,S3
96,kmeans_20,0.095,100,S3
97,kmeans_20,0.095,100,S3
98,kmeans_20,0.095,100,S3
99,kmeans_20,0.095,100,S3
100,kmeans_20,0.095,100,S3
1,y_aware_w5.0,0.555,100,S3
2,y_aware_w5.0,0.575,100,S3
3,y_aware_w5.0,0.56,100,S3
4,y_aware_w5.0,0.58,100,S3
5,y_aware_w5.0,0.5,100,S3
6,y_aware_w5.0,0.605,100,S3
7,y_aware_w5.0,0.545,100,S3
8,y_aware_w5.0,0.595,100,S3
9,y_aware_w5.0,0.565,100,S3
10,y_aware_w5.0,0.585,100,S3
11,y_aware_w5.0,0.52,100,S3
12,y_aware_w5.0,0.53,100,S3
13,y_aware_w5.0,0.525,100,S3
14,y_aware_w5.0,0.54,100,S3
15,y_aware_w5.0,0.53,100,S3
16,y_aware_w5.0,0.51,100,S3
17,y_aware_w5.0,0.52,100,S3
18,y_aware_w5.0,0.505,100,S3
19,y_aware_w5.0,0.585,100,S3
20,y_aware_w5.0,0.53,100,S3
21,y_aware_w5.0,0.515,100,S3
22,y_aware_w5.0,0.54,100,S3
23,y_aware_w5.0,0.505,100,S3
24,y_aware_w5.0,0.495,100,S3
25,y_aware_w5.0,0.57,100,S3
26,y_aware_w5.0,0.55,100,S3
27,y_aware_w5.0,0.56,100,S3
28,y_aware_w5.0,0.575,100,S3
29,y_aware_w5.0,0.54,100,S3
30,y_aware_w5.0,0.565,100,S3
31,y_aware_w5.0,0.56,100,S3
32,y_aware_w5.0,0.57,100,S3
33,y_aware_w5.0,0.515,100,S3
34,y_aware_w5.0,0.515,100,S3
35,y_aware_w5.0,0.525,100,S3
36,y_aware_w5.0,0.525,100,S3
37,y_aware_w5.0,0.55,100,S3
38,y_aware_w5.0,0.495,100,S3
39,y_aware_w5.0,0.535,100,S3
40,y_aware_w5.0,0.515,100,S3
41,y_aware_w5.0,0.59,100,S3
42,y_aware_w5.0,0.55,100,S3
43,y_aware_w5.0,0.515,100,S3
44,y_aware_w5.0,0.54,100,S3
45,y_aware_w5.0,0.555,100,S3
46,y_aware_w5.0,0.605,100,S3
47,y_aware_w5.0,0.595,100,S3
48,y_aware_w5.0,0.515,100,S3
49,y_aware_w5.0,0.55,100,S3
50,y_aware_w5.0,0.59,100,S3
51,y_aware_w5.0,0.515,100,S3
52,y_aware_w5.0,0.515,100,S3
53,y_aware_w5.0,0.525,100,S3
54,y_aware_w5.0,0.505,100,S3
55,y_aware_w5.0,0.52,100,S3
56,y_aware_w5.0,0.535,100,S3
57,y_aware_w5.0,0.555,100,S3
58,y_aware_w5.0,0.51,100,S3
59,y_aware_w5.0,0.54,100,S3
60,y_aware_w5.0,0.525,100,S3
61,y_aware_w5.0,0.575,100,S3
62,y_aware_w5.0,0.505,100,S3
63,y_aware_w5.0,0.53,100,S3
64,y_aware_w5.0,0.5,100,S3
65,y_aware_w5.0,0.575,100,S3
66,y_aware_w5.0,0.54,100,S3
67,y_aware_w5.0,0.52,100,S3
68,y_aware_w5.0,0.5,100,S3
69,y_aware_w5.0,0.555,100,S3
70,y_aware_w5.0,0.535,100,S3
71,y_aware_w5.0,0.555,100,S3
72,y_aware_w5.0,0.535,100,S3
73,y_aware_w5.0,0.57,100,S3
74,y_aware_w5.0,0.555,100,S3
75,y_aware_w5.0,0.535,100,S3
76,y_aware_w5.0,0.555,100,S3
77,y_aware_w5.0,0.515,100,S3
78,y_aware_w5.0,0.565,100,S3
79,y_aware_w5.0,0.54,100,S3
80,y_aware_w5.0,0.545,100,S3
81,y_aware_w5.0,0.595,100,S3
82,y_aware_w5.0,0.55,100,S3
83,y_aware_w5.0,0.495,100,S3
84,y_aware_w5.0,0.59,100,S3
85,y_aware_w5.0,0.575,100,S3
86,y_aware_w5.0,0.53,100,S3
87,y_aware_w5.0,0.59,100,S3
88,y_aware_w5.0,0.535,100,S3
89,y_aware_w5.0,0.545,100,S3
90,y_aware_w5.0,0.525,100,S3
91,y_aware_w5.0,0.555,100,S3
92,y_aware_w5.0,0.6,100,S3
93,y_aware_w5.0,0.55,100,S3
94,y_aware_w5.0,0.525,100,S3
95,y_aware_w5.0,0.5,100,S3
96,y_aware_w5.0,0.575,100,S3
97,y_aware_w5.0,0.575,100,S3
98,y_aware_w5.0,0.56,100,S3
99,y_aware_w5.0,0.59,100,S3
100,y_aware_w5.0,0.545,100,S3
1,per_action_kmeans,0.59,100,S3
2,per_action_kmeans,0.555,100,S3
3,per_action_kmeans,0.605,100,S3
4,per_action_kmeans,0.54,100,S3
5,per_action_kmeans,0.585,100,S3
6,per_action_kmeans,0.585,100,S3
7,per_action_kmeans,0.57,100,S3
8,per_action_kmeans,0.625,100,S3
9,per_action_kmeans,0.565,100,S3
10,per_action_kmeans,0.59,100,S3
11,per_action_kmeans,0.595,100,S3
12,per_action_kmeans,0.61,100,S3
13,per_action_kmeans,0.59,100,S3
14,per_action_kmeans,0.665,100,S3
15,per_action_kmeans,0.595,100,S3
16,per_action_kmeans,0.655,100,S3
17,per_action_kmeans,0.67,100,S3
18,per_action_kmeans,0.605,100,S3
19,per_action_kmeans,0.605,100,S3
20,per_action_kmeans,0.63,100,S3
21,per_action_kmeans,0.575,100,S3
22,per_action_kmeans,0.59,100,S3
23,per_action_kmeans,0.62,100,S3
24,per_action_kmeans,0.63,100,S3
25,per_action_kmeans,0.64,100,S3
26,per_action_kmeans,0.65,100,S3
27,per_action_kmeans,0.575,100,S3
28,per_action_kmeans,0.6,100,S3
29,per_action_kmeans,0.57,100,S3
30,per_action_kmeans,0.575,100,S3
31,per_action_kmeans,0.58,100,S3
32,per_action_kmeans,0.63,100,S3
33,per_action_kmeans,0.61,100,S3
34,per_action_kmeans,0.615,100,S3
35,per_action_kmeans,0.595,100,S3
36,per_action_kmeans,0.64,100,S3
37,per_action_kmeans,0.575,100,S3
38,per_action_kmeans,0.65,100,S3
39,per_action_kmeans,0.625,100,S3
40,per_action_kmeans,0.62,100,S3
41,per_action_kmeans,0.615,100,S3
42,per_action_kmeans,0.65,100,S3
43,per_action_kmeans,0.635,100,S3
44,per_action_kmeans,0.56,100,S3
45,per_action_kmeans,0.62,100,S3
46,per_action_kmeans,0.655,100,S3
47,per_action_kmeans,0.665,100,S3
48,per_action_kmeans,0.62,100,S3
49,per_action_kmeans,0.665,100,S3
50,per_action_kmeans,0.66,100,S3
51,per_action_kmeans,0.645,100,S3
52,per_action_kmeans,0.635,100,S3
53,per_action_kmeans,0.64,100,S3
54,per_action_kmeans,0.635,100,S3
55,per_action_kmeans,0.585,100,S3
56,per_action_kmeans,0.625,100,S3
57,per_action_kmeans,0.61,100,S3
58,per_action_kmeans,0.6,100,S3
59,per_action_kmeans,0.62,100,S3
60,per_action_kmeans,0.63,100,S3
61,per_action_kmeans,0.65,100,S3
62,per_action_kmeans,0.625,100,S3
63,per_action_kmeans,0.62,100,S3
64,per_action_kmeans,0.615,100,S3
65,per_action_kmeans,0.645,100,S3
66,per_action_kmeans,0.615,100,S3
67,per_action_kmeans,0.585,100,S3
68,per_action_kmeans,0.625,100,S3
69,per_action_kmeans,0.615,100,S3
70,per_action_kmeans,0.665,100,S3
71,per_action_kmeans,0.605,100,S3
72,per_action_kmeans,0.655,100,S3
73,per_action_kmeans,0.605,100,S3
74,per_action_kmeans,0.635,100,S3
75,per_action_kmeans,0.69,100,S3
76,per_action_kmeans,0.59,100,S3
77,per_action_kmeans,0.64,100,S3
78,per_action_kmeans,0.635,100,S3
79,per_action_kmeans,0.605,100,S3
80,per_action_kmeans,0.605,100,S3
81,per_action_kmeans,0.62,100,S3
82,per_action_kmeans,0.59,100,S3
83,per_action_kmeans,0.625,100,S3
84,per_action_kmeans,0.615,100,S3
85,per_action_kmeans,0.595,100,S3
86,per_action_kmeans,0.62,100,S3
87,per_action_kmeans,0.6,100,S3
88,per_action_kmeans,0.685,100,S3
89,per_action_kmeans,0.58,100,S3
90,per_action_kmeans,0.63,100,S3
91,per_action_kmeans,0.615,100,S3
92,per_action_kmeans,0.62,100,S3
93,per_action_kmeans,0.655,100,S3
94,per_action_kmeans,0.64,100,S3
95,per_action_kmeans,0.63,100,S3
96,per_action_kmeans,0.635,100,S3
97,per_action_kmeans,0.62,100,S3
98,per_action_kmeans,0.65,100,S3
99,per_action_kmeans,0.625,100,S3
100,per_action_kmeans,0.615,100,S3
1,adaptive_per_action,0.53,100,S3
2,adaptive_per_action,0.52,100,S3
3,adaptive_per_action,0.56,100,S3
4,adaptive_per_action,0.6,100,S3
5,adaptive_per_action,0.63,100,S3
6,adaptive_per_action,0.635,100,S3
7,adaptive_per_action,0.56,100,S3
8,adaptive_per_action,0.59,100,S3
9,adaptive_per_action,0.58,100,S3
10,adaptive_per_action,0.57,100,S3
11,adaptive_per_action,0.61,100,S3
12,adaptive_per_action,0.575,100,S3
13,adaptive_per_action,0.615,100,S3
14,adaptive_per_action,0.59,100,S3
15,adaptive_per_action,0.605,100,S3
16,adaptive_per_action,0.605,100,S3
17,adaptive_per_action,0.645,100,S3
18,adaptive_per_action,0.58,100,S3
19,adaptive_per_action,0.6,100,S3
20,adaptive_per_action,0.65,100,S3
21,adaptive_per_action,0.575,100,S3
22,adaptive_per_action,0.65,100,S3
23,adaptive_per_action,0.61,100,S3
24,adaptive_per_action,0.605,100,S3
25,adaptive_per_action,0.66,100,S3
26,adaptive_per_action,0.615,100,S3
27,adaptive_per_action,0.62,100,S3
28,adaptive_per_action,0.595,100,S3
29,adaptive_per_action,0.625,100,S3
30,adaptive_per_action,0.625,100,S3
31,adaptive_per_action,0.62,100,S3
32,adaptive_per_action,0.595,100,S3
33,adaptive_per_action,0.545,100,S3
34,adaptive_per_action,0.58,100,S3
35,adaptive_per_action,0.595,100,S3
36,adaptive_per_action,0.585,100,S3
37,adaptive_per_action,0.56,100,S3
38,adaptive_per_action,0.595,100,S3
39,adaptive_per_action,0.61,100,S3
40,adaptive_per_action,0.59,100,S3
41,adaptive_per_action,0.61,100,S3
42,adaptive_per_action,0.57,100,S3
43,adaptive_per_action,0.655,100,S3
44,adaptive_per_action,0.605,100,S3
45,adaptive_per_action,0.61,100,S3
46,adaptive_per_action,0.63,100,S3
47,adaptive_per_action,0.605,100,S3
48,adaptive_per_action,0.57,100,S3
49,adaptive_per_action,0.64,100,S3
50,adaptive_per_action,0.63,100,S3
51,adaptive_per_action,0.625,100,S3
52,adaptive_per_action,0.605,100,S3
53,adaptive_per_action,0.57,100,S3
54,adaptive_per_action,0.63,100,S3
55,adaptive_per_action,0.655,100,S3
56,adaptive_per_action,0.61,100,S3
57,adaptive_per_action,0.575,100,S3
58,adaptive_per_action,0.595,100,S3
59,adaptive_per_action,0.565,100,S3
60,adaptive_per_action,0.66,100,S3
61,adaptive_per_action,0.625,100,S3
62,adaptive_per_action,0.63,100,S3
63,adaptive_per_action,0.645,100,S3
64,adaptive_per_action,0.595,100,S3
65,adaptive_per_action,0.625,100,S3
66,adaptive_per_action,0.595,100,S3
67,adaptive_per_action,0.65,100,S3
68,adaptive_per_action,0.575,100,S3
69,adaptive_per_action,0.665,100,S3
70,adaptive_per_action,0.62,100,S3
71,adaptive_per_action,0.62,100,S3
72,adaptive_per_action,0.59,100,S3
73,adaptive_per_action,0.56,100,S3
74,adaptive_per_action,0.645,100,S3
75,adaptive_per_action,0.66,100,S3
76,adaptive_per_action,0.61,100,S3
77,adaptive_per_action,0.61,100,S3
78,adaptive_per_action,0.655,100,S3
79,adaptive_per_action,0.62,100,S3
80,adaptive_per_action,0.575,100,S3
81,adaptive_per_action,0.605,100,S3
82,adaptive_per_action,0.63,100,S3
83,adaptive_per_action,0.585,100,S3
84,adaptive_per_action,0.58,100,S3
85,adaptive_per_action,0.605,100,S3
86,adaptive_per_action,0.65,100,S3
87,adaptive_per_action,0.65,100,S3
88,adaptive_per_action,0.65,100,S3
89,adaptive_per_action,0.6,100,S3
90,adaptive_per_action,0.61,100,S3
91,adaptive_per_action,0.62,100,S3
92,adaptive_per_action,0.67,100,S3
93,adaptive_per_action,0.625,100,S3
94,adaptive_per_action,0.64,100,S3
95,adaptive_per_action,0.61,100,S3
96,adaptive_per_action,0.59,100,S3
97,adaptive_per_action,0.585,100,S3
98,adaptive_per_action,0.58,100,S3
99,adaptive_per_action,0.6,100,S3
100,adaptive_per_action,0.62,100,S3
1,nomemory,0.46,100,S3
2,nomemory,0.445,100,S3
3,nomemory,0.445,100,S3
4,nomemory,0.445,100,S3
5,nomemory,0.445,100,S3
6,nomemory,0.445,100,S3
7,nomemory,0.445,100,S3
8,nomemory,0.445,100,S3
9,nomemory,0.445,100,S3
10,nomemory,0.445,100,S3
11,nomemory,0.445,100,S3
12,nomemory,0.445,100,S3
13,nomemory,0.445,100,S3
14,nomemory,0.445,100,S3
15,nomemory,0.445,100,S3
16,nomemory,0.445,100,S3
17,nomemory,0.445,100,S3
18,nomemory,0.445,100,S3
19,nomemory,0.445,100,S3
20,nomemory,0.445,100,S3
21,nomemory,0.445,100,S3
22,nomemory,0.445,100,S3
23,nomemory,0.445,100,S3
24,nomemory,0.445,100,S3
25,nomemory,0.445,100,S3
26,nomemory,0.445,100,S3
27,nomemory,0.445,100,S3
28,nomemory,0.445,100,S3
29,nomemory,0.445,100,S3
30,nomemory,0.445,100,S3
31,nomemory,0.445,100,S3
32,nomemory,0.445,100,S3
33,nomemory,0.445,100,S3
34,nomemory,0.445,100,S3
35,nomemory,0.445,100,S3
36,nomemory,0.445,100,S3
37,nomemory,0.445,100,S3
38,nomemory,0.445,100,S3
39,nomemory,0.445,100,S3
40,nomemory,0.445,100,S3
41,nomemory,0.445,100,S3
42,nomemory,0.445,100,S3
43,nomemory,0.445,100,S3
44,nomemory,0.445,100,S3
45,nomemory,0.445,100,S3
46,nomemory,0.445,100,S3
47,nomemory,0.445,100,S3
48,nomemory,0.445,100,S3
49,nomemory,0.445,100,S3
50,nomemory,0.445,100,S3
51,nomemory,0.445,100,S3
52,nomemory,0.445,100,S3
53,nomemory,0.445,100,S3
54,nomemory,0.445,100,S3
55,nomemory,0.445,100,S3
56,nomemory,0.445,100,S3
57,nomemory,0.445,100,S3
58,nomemory,0.445,100,S3
59,nomemory,0.445,100,S3
60,nomemory,0.445,100,S3
61,nomemory,0.445,100,S3
62,nomemory,0.445,100,S3
63,nomemory,0.445,100,S3
64,nomemory,0.445,100,S3
65,nomemory,0.445,100,S3
66,nomemory,0.445,100,S3
67,nomemory,0.445,100,S3
68,nomemory,0.445,100,S3
69,nomemory,0.445,100,S3
70,nomemory,0.445,100,S3
71,nomemory,0.445,100,S3
72,nomemory,0.445,100,S3
73,nomemory,0.445,100,S3
