step,strategy,best_action_match,n_seeds,level
12,adaptive_per_action,0.575,50,S2
13,adaptive_per_action,0.615,50,S2
14,adaptive_per_action,0.59,50,S2
15,adaptive_per_action,0.605,50,S2
16,adaptive_per_action,0.605,50,S2
17,adaptive_per_action,0.645,50,S2
18,adaptive_per_action,0.58,50,S2
19,adaptive_per_action,0.6,50,S2
20,adaptive_per_action,0.64,50,S2
21,adaptive_per_action,0.575,50,S2
22,adaptive_per_action,0.65,50,S2
23,adaptive_per_action,0.61,50,S2
24,adaptive_per_action,0.605,50,S2
25,adaptive_per_action,0.66,50,S2
26,adaptive_per_action,0.61,50,S2
27,adaptive_per_action,0.615,50,S2
28,adaptive_per_action,0.595,50,S2
29,adaptive_per_action,0.63,50,S2
30,adaptive_per_action,0.625,50,S2
31,adaptive_per_action,0.62,50,S2
32,adaptive_per_action,0.595,50,S2
33,adaptive_per_action,0.545,50,S2
34,adaptive_per_action,0.585,50,S2
35,adaptive_per_action,0.595,50,S2
36,adaptive_per_action,0.585,50,S2
37,adaptive_per_action,0.56,50,S2
38,adaptive_per_action,0.595,50,S2
39,adaptive_per_action,0.61,50,S2
40,adaptive_per_action,0.59,50,S2
41,adaptive_per_action,0.61,50,S2
42,adaptive_per_action,0.58,50,S2
43,adaptive_per_action,0.655,50,S2
44,adaptive_per_action,0.605,50,S2
45,adaptive_per_action,0.61,50,S2
46,adaptive_per_action,0.63,50,S2
47,adaptive_per_action,0.605,50,S2
48,adaptive_per_action,0.57,50,S2
49,adaptive_per_action,0.64,50,S2
50,adaptive_per_action,0.63,50,S2
1,nomemory,0.46,50,S2
2,nomemory,0.445,50,S2
3,nomemory,0.445,50,S2
4,nomemory,0.445,50,S2
5,nomemory,0.445,50,S2
6,nomemory,0.445,50,S2
7,nomemory,0.445,50,S2
8,nomemory,0.445,50,S2
9,nomemory,0.445,50,S2
10,nomemory,0.445,50,S2
11,nomemory,0.445,50,S2
12,nomemory,0.445,50,S2
13,nomemory,0.445,50,S2
14,nomemory,0.445,50,S2
15,nomemory,0.445,50,S2
16,nomemory,0.445,50,S2
17,nomemory,0.445,50,S2
18,nomemory,0.445,50,S2
19,nomemory,0.445,50,S2
20,nomemory,0.445,50,S2
21,nomemory,0.445,50,S2
22,nomemory,0.445,50,S2
23,nomemory,0.445,50,S2
24,nomemory,0.445,50,S2
25,nomemory,0.445,50,S2
26,nomemory,0.445,50,S2
27,nomemory,0.445,50,S2
28,nomemory,0.445,50,S2
29,nomemory,0.445,50,S2
30,nomemory,0.445,50,S2
31,nomemory,0.445,50,S2
32,nomemory,0.445,50,S2
33,nomemory,0.445,50,S2
34,nomemory,0.445,50,S2
35,nomemory,0.445,50,S2
36,nomemory,0.445,50,S2
37,nomemory,0.445,50,S2
38,nomemory,0.445,50,S2
39,nomemory,0.445,50,S2
40,nomemory,0.445,50,S2
41,nomemory,0.445,50,S2
42,nomemory,0.445,50,S2
43,nomemory,0.445,50,S2
44,nomemory,0.445,50,S2
45,nomemory,0.445,50,S2
46,nomemory,0.445,50,S2
47,nomemory,0.445,50,S2
48,nomemory,0.445,50,S2
49,nomemory,0.445,50,S2
50,nomemory,0.445,50,S2
