noise_level,kmeans,y_aware_w5,per_action,nomemory,delta_pa_nm
0.0,0.09500000000000001,0.465,0.5,0.445,0.05499999999999999
0.03,0.09500000000000001,0.4816666666666667,0.49499999999999994,0.445,0.04999999999999993
0.1,0.09500000000000001,0.47833333333333333,0.4966666666666666,0.445,0.05166666666666658
0.3,0.09500000000000001,0.4566666666666667,0.505,0.445,0.06
1.0,0.09500000000000001,0.48,0.545,0.445,0.10000000000000003
