regime,mechanism,match,total_capital_cost,performance_per_byte,on_pareto_frontier,is_best_match,is_best_efficiency,dominated
action_effect_delayed_action_effect,AEPCompressor,0.8563888888888889,66532.0,1.287183443889991e-05,True,True,False,False
action_effect_delayed_action_effect,PrototypeOutcomeTable,0.8266666666666667,19800.0,4.175084175084175e-05,False,False,False,True
action_effect_delayed_action_effect,RawMemoryOutcomeTableFull,0.8280555555555555,19368.0,4.275379778787462e-05,True,False,True,False
action_effect_delayed_action_effect,ResidualCompressor,0.855,48920.0,1.7477514309076042e-05,True,False,False,False
action_effect_mode_conditioned_gain,AEPCompressor,0.9155,66532.0,1.3760295797510972e-05,True,True,False,False
action_effect_mode_conditioned_gain,PrototypeOutcomeTable,0.8025,19800.0,4.0530303030303026e-05,False,False,False,True
action_effect_mode_conditioned_gain,RawMemoryOutcomeTableFull,0.8053333333333333,19368.0,4.1580614071320396e-05,True,False,True,False
action_effect_mode_conditioned_gain,ResidualCompressor,0.9151666666666666,48920.0,1.870741346415917e-05,True,False,False,False
action_effect_piecewise_action_map,AEPCompressor,0.8848333333333334,66532.0,1.329936471672779e-05,False,False,False,True
action_effect_piecewise_action_map,PrototypeOutcomeTable,0.7918333333333333,19800.0,3.999158249158249e-05,True,False,False,False
action_effect_piecewise_action_map,RawMemoryOutcomeTableFull,0.7888333333333333,19368.0,4.072869337739226e-05,True,False,True,False
action_effect_piecewise_action_map,ResidualCompressor,0.8976666666666666,48920.0,1.834968656309621e-05,True,True,False,False
action_effect_simple_sign_flip,AEPCompressor,0.9795,66532.0,1.47222389226237e-05,False,False,False,True
action_effect_simple_sign_flip,PrototypeOutcomeTable,0.8415,19800.0,4.25e-05,True,False,False,False
action_effect_simple_sign_flip,RawMemoryOutcomeTableFull,0.8408333333333334,19368.0,4.341353435219606e-05,True,False,True,False
action_effect_simple_sign_flip,ResidualCompressor,0.9826666666666667,48920.0,2.0087217225402016e-05,True,True,False,False
action_effect_state_dep_nonlinear_gain,AEPCompressor,0.9299999999999999,66532.0,1.3978236036794325e-05,True,True,False,False
action_effect_state_dep_nonlinear_gain,PrototypeOutcomeTable,0.8682142857142857,19800.0,4.3849206349206344e-05,False,False,False,True
action_effect_state_dep_nonlinear_gain,RawMemoryOutcomeTableFull,0.8723214285714286,19368.0,4.5039313742845336e-05,True,False,True,False
action_effect_state_dep_nonlinear_gain,ResidualCompressor,0.9221428571428572,48920.0,1.8850017521317602e-05,True,False,False,False
utility_adversarial,AEPCompressor,0.99,62932.0,1.5731265492912986e-05,False,True,False,True
utility_adversarial,MultiGoalPolicyClone,0.155,38220.0,4.055468341182627e-06,False,False,False,True
utility_adversarial,PrototypeOutcomeTable,0.99,16200.0,6.111111111111111e-05,False,True,False,True
utility_adversarial,RawMemoryOutcomeTableFull,0.99,15768.0,6.278538812785387e-05,True,True,True,False
utility_adversarial,ResidualCompressor,0.99,45320.0,2.1844660194174756e-05,False,True,False,True
utility_compositional_multiobj,AEPCompressor,1.0,62932.0,1.589016716455857e-05,False,True,False,True
utility_compositional_multiobj,MultiGoalPolicyClone,1.0,38220.0,2.6164311878597592e-05,False,True,False,True
utility_compositional_multiobj,PrototypeOutcomeTable,1.0,16200.0,6.17283950617284e-05,False,True,False,True
utility_compositional_multiobj,RawMemoryOutcomeTableFull,1.0,15768.0,6.341958396752917e-05,True,True,True,False
utility_compositional_multiobj,ResidualCompressor,1.0,45320.0,2.206531332744925e-05,False,True,False,True
utility_energy_aware,AEPCompressor,1.0,62932.0,1.589016716455857e-05,False,True,False,True
utility_energy_aware,MultiGoalPolicyClone,1.0,38220.0,2.6164311878597592e-05,False,True,False,True
utility_energy_aware,PrototypeOutcomeTable,1.0,16200.0,6.17283950617284e-05,False,True,False,True
utility_energy_aware,RawMemoryOutcomeTableFull,1.0,15768.0,6.341958396752917e-05,True,True,True,False
utility_energy_aware,ResidualCompressor,1.0,45320.0,2.206531332744925e-05,False,True,False,True
utility_nonlinear_interaction,AEPCompressor,0.595,62932.0,9.454649462912349e-06,False,False,False,True
utility_nonlinear_interaction,MultiGoalPolicyClone,0.72,38220.0,1.8838304552590268e-05,True,True,True,False
utility_nonlinear_interaction,PrototypeOutcomeTable,0.095,16200.0,5.864197530864198e-06,False,False,False,True
utility_nonlinear_interaction,RawMemoryOutcomeTableFull,0.155,15768.0,9.830035514967023e-06,True,False,False,False
utility_nonlinear_interaction,ResidualCompressor,0.555,45320.0,1.2246248896734334e-05,False,False,False,True
utility_piecewise_regional,AEPCompressor,0.795,62932.0,1.2632682895824065e-05,True,True,False,False
utility_piecewise_regional,MultiGoalPolicyClone,0.07,38220.0,1.8315018315018316e-06,False,False,False,True
utility_piecewise_regional,PrototypeOutcomeTable,0.565,16200.0,3.487654320987654e-05,False,False,False,True
utility_piecewise_regional,RawMemoryOutcomeTableFull,0.6,15768.0,3.80517503805175e-05,True,False,True,False
utility_piecewise_regional,ResidualCompressor,0.79,45320.0,1.7431597528684907e-05,True,False,False,False
