ood_type,utility,utility_type,utility_complexity,mean_nn_distance,AEPCompressor,ResidualCompressor,RawMemoryOutcomeTableFull,PrototypeOutcomeTable
ID,H_linear_0,linear,1,1.2572789292720605,0.997624703087886,0.997624703087886,0.997624703087886,0.997624703087886
ID,H_linear_1,linear,1,1.2572789292720605,1.0,1.0,1.0,1.0
ID,H_linear_2,linear,1,1.2572789292720605,1.0,1.0,1.0,1.0
ID,H_linear_3,linear,1,1.2572789292720605,1.0,1.0,1.0,1.0
ID,H_linear_4,linear,1,1.2572789292720605,1.0,1.0,1.0,1.0
ID,H_linear_5,linear,1,1.2572789292720605,0.9833729216152018,0.9833729216152018,0.9833729216152018,0.9833729216152018
ID,H_target_6,target,2,1.2572789292720605,1.0,0.997624703087886,1.0,1.0
ID,H_target_7,target,2,1.2572789292720605,1.0,1.0,1.0,1.0
ID,H_target_8,target,2,1.2572789292720605,1.0,1.0,1.0,1.0
ID,H_target_9,target,2,1.2572789292720605,0.8171021377672208,0.8194774346793349,0.5154394299287411,0.6057007125890737
ID,H_target_10,target,2,1.2572789292720605,0.9928741092636579,0.9904988123515439,0.9928741092636579,0.9928741092636579
ID,H_piecewise_15,piecewise,4,1.2572789292720605,0.8266033254156769,0.8171021377672208,0.5415676959619953,0.6057007125890737
ID,H_piecewise_18,piecewise,4,1.2572789292720605,0.8266033254156769,0.8171021377672208,0.5415676959619953,0.6057007125890737
ID,H_multiobj_24,multiobj,7,1.2572789292720605,1.0,1.0,1.0,1.0
near_OOD,H_linear_0,linear,1,3.1855975287543905,0.9643705463182898,0.9714964370546318,0.997624703087886,0.997624703087886
near_OOD,H_linear_1,linear,1,3.1855975287543905,0.9667458432304038,0.9762470308788599,1.0,1.0
near_OOD,H_linear_2,linear,1,3.1855975287543905,0.9786223277909739,0.995249406175772,1.0,1.0
near_OOD,H_linear_3,linear,1,3.1855975287543905,0.9714964370546318,0.9904988123515439,1.0,1.0
near_OOD,H_linear_4,linear,1,3.1855975287543905,0.9714964370546318,0.9762470308788599,1.0,1.0
near_OOD,H_linear_5,linear,1,3.1855975287543905,0.9144893111638955,0.9643705463182898,0.9833729216152018,0.9833729216152018
near_OOD,H_target_6,target,2,3.1855975287543905,0.8978622327790974,0.9619952494061758,1.0,1.0
near_OOD,H_target_7,target,2,3.1855975287543905,0.9572446555819477,0.9881235154394299,1.0,1.0
near_OOD,H_target_8,target,2,3.1855975287543905,0.9524940617577197,0.9691211401425178,1.0,1.0
near_OOD,H_target_9,target,2,3.1855975287543905,0.7220902612826603,0.7577197149643705,0.5415676959619953,0.5629453681710214
near_OOD,H_target_10,target,2,3.1855975287543905,0.9073634204275535,0.9026128266033254,0.9928741092636579,0.9928741092636579
near_OOD,H_piecewise_15,piecewise,4,3.1855975287543905,0.7553444180522565,0.7719714964370546,0.5510688836104513,0.5914489311163895
near_OOD,H_piecewise_18,piecewise,4,3.1855975287543905,0.7624703087885986,0.7838479809976246,0.5510688836104513,0.5914489311163895
near_OOD,H_multiobj_24,multiobj,7,3.1855975287543905,1.0,1.0,1.0,1.0
far_OOD,H_linear_0,linear,1,9.263899563044097,0.8717339667458432,0.8883610451306413,0.997624703087886,0.997624703087886
far_OOD,H_linear_1,linear,1,9.263899563044097,0.8812351543942993,0.8954869358669834,1.0,1.0
far_OOD,H_linear_2,linear,1,9.263899563044097,0.9049881235154394,0.9311163895486936,1.0,1.0
far_OOD,H_linear_3,linear,1,9.263899563044097,0.8693586698337292,0.9144893111638955,1.0,1.0
far_OOD,H_linear_4,linear,1,9.263899563044097,0.8907363420427553,0.8954869358669834,1.0,1.0
far_OOD,H_linear_5,linear,1,9.263899563044097,0.7957244655581948,0.9144893111638955,0.9833729216152018,0.9833729216152018
far_OOD,H_target_6,target,2,9.263899563044097,0.7672209026128266,0.8954869358669834,1.0,1.0
far_OOD,H_target_7,target,2,9.263899563044097,0.8432304038004751,0.9287410926365796,1.0,1.0
far_OOD,H_target_8,target,2,9.263899563044097,0.8527315914489311,0.8788598574821853,1.0,1.0
far_OOD,H_target_9,target,2,9.263899563044097,0.5938242280285035,0.6247030878859857,0.498812351543943,0.5439429928741093
far_OOD,H_target_10,target,2,9.263899563044097,0.8266033254156769,0.831353919239905,0.9928741092636579,0.9928741092636579
far_OOD,H_piecewise_15,piecewise,4,9.263899563044097,0.6484560570071259,0.667458432304038,0.5581947743467933,0.5463182897862233
far_OOD,H_piecewise_18,piecewise,4,9.263899563044097,0.665083135391924,0.66270783847981,0.5581947743467933,0.5463182897862233
far_OOD,H_multiobj_24,multiobj,7,9.263899563044097,1.0,1.0,1.0,1.0
