state_dim,utility,utility_type,mechanism,heldout_match,far_ood_match,mean_nn_distance,total_capital_cost,parameter_cost_bytes,training_data_cost_bytes,inference_cost_ops,performance_per_byte
2,H_linear_5,linear,PrototypeOutcomeTable,0.9483333333333334,0.945,1.6966583966215452,27000,0,5400,3600,3.5123456790123456e-05
2,H_target_6,target,AEPCompressor,0.9983333333333333,0.755,1.6966583966215452,73732,52132,0,0,1.3540027848604857e-05
2,H_target_6,target,ResidualCompressor,0.9983333333333333,0.765,1.6966583966215452,56120,34520,0,0,1.778926110715134e-05
2,H_target_6,target,CounterfactualCompressor,0.7566666666666667,0.715,1.6966583966215452,59820,38220,0,0,1.2649058285969018e-05
2,H_target_6,target,PolicyClone,0.035,0.03,1.6966583966215452,38220,38220,0,0,9.157509157509158e-07
2,H_target_6,target,RawMemoryOutcomeTableFull,0.9983333333333333,1.0,1.6966583966215452,26568,0,4968,3312,3.7576533172739134e-05
2,H_target_6,target,StandardizedKNNOutcomeTable,0.9983333333333333,1.0,1.6966583966215452,4968,0,4968,3312,0.00020095276435856145
2,H_target_6,target,PrototypeOutcomeTable,0.9983333333333333,1.0,1.6966583966215452,27000,0,5400,3600,3.697530864197531e-05
2,H_target_7,target,AEPCompressor,0.995,0.755,1.6966583966215452,73732,52132,0,0,1.3494819074485977e-05
2,H_target_7,target,ResidualCompressor,0.9933333333333333,0.755,1.6966583966215452,56120,34520,0,0,1.7700166310287478e-05
2,H_target_7,target,CounterfactualCompressor,0.25,0.1,1.6966583966215452,59820,38220,0,0,4.179204279505182e-06
2,H_target_7,target,PolicyClone,0.5066666666666667,0.495,1.6966583966215452,38220,38220,0,0,1.3256584685156115e-05
2,H_target_7,target,RawMemoryOutcomeTableFull,0.9966666666666667,1.0,1.6966583966215452,26568,0,4968,3312,3.7513801063936564e-05
2,H_target_7,target,StandardizedKNNOutcomeTable,0.9966666666666667,1.0,1.6966583966215452,4968,0,4968,3312,0.0002006172839506173
2,H_target_7,target,PrototypeOutcomeTable,0.9966666666666667,1.0,1.6966583966215452,27000,0,5400,3600,3.6913580246913584e-05
2,H_target_8,target,AEPCompressor,0.9833333333333333,0.65,1.6966583966215452,73732,52132,0,0,1.3336588365069892e-05
2,H_target_8,target,ResidualCompressor,0.98,0.66,1.6966583966215452,56120,34520,0,0,1.7462580185317178e-05
