step,capital,action,oracle,correct,utility,regret
178,res,1,2,0,-2.441798210144043,1.0
179,res,0,0,1,-4.505549907684326,0.0
180,res,2,1,0,-3.357797145843506,1.0
181,res,0,0,1,-3.0263075828552246,0.0
182,res,1,1,1,-6.259737014770508,0.0
183,res,0,0,1,-6.830992698669434,0.0
184,res,1,1,1,-6.259737014770508,0.0
185,res,0,0,1,-4.9841485023498535,0.0
186,res,1,2,0,-2.947108745574951,1.0
187,res,0,0,1,-4.0012311935424805,0.0
188,res,1,2,0,-1.38761305809021,1.0
189,res,0,0,1,-6.0090837478637695,0.0
190,res,1,1,1,-6.066882610321045,0.0
191,res,0,0,1,-8.667001724243164,0.0
192,res,1,2,0,-2.7969539165496826,1.0
193,res,0,0,1,-3.3372600078582764,0.0
194,res,1,1,1,-5.4728827476501465,0.0
195,res,0,0,1,-6.570256233215332,0.0
196,res,1,1,1,-2.3636364936828613,0.0
197,res,0,0,1,-2.931342124938965,0.0
198,res,1,2,0,-2.8344004154205322,1.0
199,res,0,0,1,-4.419669151306152,0.0
0,pot,1,2,0,-2.861992120742798,1.0
1,pot,1,1,1,-3.1711461544036865,0.0
2,pot,1,1,1,-5.383496284484863,0.0
3,pot,1,1,1,-2.1876635551452637,0.0
4,pot,1,1,1,-2.4405393600463867,0.0
5,pot,1,2,0,-3.114438056945801,1.0
6,pot,1,2,0,-2.861992120742798,1.0
7,pot,1,2,0,-2.9994328022003174,1.0
8,pot,1,1,1,-5.425563812255859,0.0
9,pot,1,1,1,-4.35452938079834,0.0
10,pot,1,2,0,-2.133962869644165,1.0
11,pot,1,2,0,-2.6939611434936523,1.0
12,pot,1,1,1,-5.559378623962402,0.0
13,pot,1,1,1,-4.506629943847656,0.0
14,pot,1,1,1,-5.159625053405762,0.0
15,pot,1,2,0,-1.4973944425582886,1.0
16,pot,1,1,1,-7.3719482421875,0.0
17,pot,1,1,1,-4.912177085876465,0.0
18,pot,1,2,0,-2.1012685298919678,1.0
19,pot,1,2,0,-1.8098658323287964,1.0
20,pot,1,2,0,-1.7497611045837402,1.0
21,pot,1,1,1,-4.970658779144287,0.0
22,pot,1,1,1,-5.93492317199707,0.0
23,pot,1,2,0,-3.007373094558716,1.0
24,pot,1,1,1,-5.3035197257995605,0.0
25,pot,1,2,0,-2.9602975845336914,1.0
26,pot,1,1,1,-5.832218170166016,0.0
27,pot,1,1,1,-2.425523042678833,0.0
28,pot,1,1,1,-6.060871124267578,0.0
29,pot,1,1,1,-3.4037742614746094,0.0
30,pot,1,2,0,-1.8098658323287964,1.0
31,pot,1,1,1,-3.984785556793213,0.0
32,pot,1,1,1,-4.35452938079834,0.0
33,pot,1,1,1,-5.139995574951172,0.0
34,pot,1,2,0,-2.385535717010498,1.0
35,pot,1,1,1,-4.858737945556641,0.0
36,pot,1,2,0,-3.114438056945801,1.0
37,pot,1,1,1,-7.798065185546875,0.0
38,pot,1,2,0,-2.3785386085510254,1.0
39,pot,1,1,1,-7.912727355957031,0.0
40,pot,1,2,0,-2.947108745574951,1.0
41,pot,1,2,0,-2.649780750274658,1.0
42,pot,1,2,0,-2.8613953590393066,1.0
43,pot,1,1,1,-4.921736717224121,0.0
44,pot,1,1,1,-4.742970943450928,0.0
45,pot,1,1,1,-3.3108980655670166,0.0
46,pot,1,1,1,-5.068070888519287,0.0
47,pot,1,1,1,-4.198895454406738,0.0
48,pot,1,2,0,-1.6650803089141846,1.0
49,pot,1,1,1,-5.323714256286621,0.0
50,pot,1,2,0,-2.649780750274658,1.0
51,pot,1,2,0,-1.7482779026031494,1.0
52,pot,1,2,0,-1.083673357963562,1.0
53,pot,1,2,0,-3.336913585662842,1.0
54,pot,1,1,1,-6.259737014770508,0.0
55,pot,1,2,0,-2.6366219520568848,1.0
56,pot,1,1,1,-6.060871124267578,0.0
57,pot,1,1,1,-3.2571449279785156,0.0
58,pot,1,1,1,-5.105923652648926,0.0
59,pot,1,1,1,-6.066882610321045,0.0
60,pot,1,2,0,-2.281838893890381,1.0
61,pot,1,1,1,-5.105923652648926,0.0
62,pot,1,2,0,-2.617987632751465,1.0
63,pot,1,2,0,-2.875657558441162,1.0
64,pot,1,2,0,-3.123277187347412,1.0
65,pot,1,2,0,-2.869255781173706,1.0
66,pot,1,2,0,-3.1758761405944824,1.0
67,pot,1,1,1,-4.970658779144287,0.0
68,pot,1,1,1,-6.904509544372559,0.0
69,pot,1,2,0,-3.336913585662842,1.0
70,pot,1,1,1,-6.609445571899414,0.0
71,pot,1,1,1,-5.839378833770752,0.0
72,pot,1,2,0,-2.0097298622131348,1.0
73,pot,1,1,1,-4.912177085876465,0.0
74,pot,1,1,1,-7.122551918029785,0.0
75,pot,1,1,1,-6.107212066650391,0.0
76,pot,1,1,1,-5.206290245056152,0.0
77,pot,1,1,1,-3.984785556793213,0.0
78,pot,1,1,1,-3.7825703620910645,0.0
79,pot,1,2,0,-2.7054758071899414,1.0
80,pot,1,1,1,-4.906460762023926,0.0
81,pot,1,1,1,-2.1876635551452637,0.0
82,pot,1,1,1,-6.146119594573975,0.0
83,pot,1,2,0,-3.2817461490631104,1.0
84,pot,1,1,1,-7.131816864013672,0.0
85,pot,1,2,0,-2.8613953590393066,1.0
86,pot,1,2,0,-2.860800266265869,1.0
87,pot,1,1,1,-5.014222145080566,0.0
88,pot,1,1,1,-5.918013572692871,0.0
89,pot,1,2,0,-3.2817461490631104,1.0
90,pot,1,1,1,-2.1876635551452637,0.0
91,pot,1,1,1,-4.286471366882324,0.0
92,pot,1,1,1,-3.8749680519104004,0.0
93,pot,1,2,0,-3.2523162364959717,1.0
94,pot,1,1,1,-5.9148664474487305,0.0
95,pot,1,1,1,-4.881260871887207,0.0
96,pot,1,2,0,-1.38761305809021,1.0
97,pot,1,1,1,-6.066882610321045,0.0
98,pot,1,2,0,-2.4401533603668213,1.0
99,pot,1,1,1,-5.418692588806152,0.0
100,pot,1,2,0,-3.2817461490631104,1.0
101,pot,0,0,1,-6.464717388153076,0.0
102,pot,1,1,1,-4.286471366882324,0.0
103,pot,0,0,1,-4.991368293762207,0.0
104,pot,1,1,1,-6.609445571899414,0.0
105,pot,0,0,1,-4.054628372192383,0.0
106,pot,1,1,1,-5.3035197257995605,0.0
107,pot,0,0,1,-2.8308815956115723,0.0
108,pot,1,1,1,-5.756359100341797,0.0
109,pot,0,0,1,-5.7484965324401855,0.0
110,pot,1,2,0,-2.3785386085510254,1.0
111,pot,0,0,1,-5.233817100524902,0.0
112,pot,1,1,1,-2.637269973754883,0.0
113,pot,0,0,1,-5.598573207855225,0.0
114,pot,1,1,1,-4.892409324645996,0.0
115,pot,0,0,1,-5.359099864959717,0.0
116,pot,1,1,1,-8.605199813842773,0.0
117,pot,0,0,1,-5.355660438537598,0.0
118,pot,1,1,1,-4.964271545410156,0.0
119,pot,0,0,1,-4.106477737426758,0.0
120,pot,1,1,1,-2.1876635551452637,0.0
121,pot,0,0,1,-6.2743377685546875,0.0
122,pot,1,1,1,-5.383496284484863,0.0
123,pot,0,0,1,-5.712493896484375,0.0
124,pot,1,2,0,-3.114438056945801,1.0
125,pot,0,0,1,-5.359099864959717,0.0
126,pot,1,1,1,-6.904509544372559,0.0
127,pot,0,0,1,-4.385315895080566,0.0
128,pot,1,2,0,-2.953064441680908,1.0
129,pot,0,0,1,-8.667001724243164,0.0
130,pot,1,2,0,-2.2163851261138916,1.0
131,pot,0,0,1,-5.060827255249023,0.0
132,pot,1,1,1,-4.35452938079834,0.0
133,pot,0,0,1,-2.333218574523926,0.0
134,pot,1,0,0,-0.1821262240409851,1.0
135,pot,0,0,1,-6.0090837478637695,0.0
136,pot,1,1,1,-7.061066627502441,0.0
137,pot,0,0,1,-4.517400741577148,0.0
138,pot,1,1,1,-3.0665340423583984,0.0
139,pot,0,0,1,-1.818875789642334,0.0
140,pot,1,1,1,-3.696622848510742,0.0
141,pot,0,0,1,-1.9509754180908203,0.0
142,pot,1,2,0,-2.3785386085510254,1.0
143,pot,0,0,1,-7.669284820556641,0.0
144,pot,1,2,0,-2.924614429473877,1.0
145,pot,0,0,1,-5.243520736694336,0.0
146,pot,1,1,1,-4.630207061767578,0.0
147,pot,0,0,1,-5.3968610763549805,0.0
148,pot,1,1,1,-2.425523042678833,0.0
149,pot,0,0,1,-6.760868072509766,0.0
150,pot,1,2,0,-3.114438056945801,1.0
151,pot,0,0,1,-7.111547946929932,0.0
152,pot,1,1,1,-2.4116406440734863,0.0
153,pot,0,0,1,-2.972459077835083,0.0
154,pot,1,1,1,-2.4405393600463867,0.0
155,pot,0,0,1,-2.8308815956115723,0.0
156,pot,1,1,1,-4.912177085876465,0.0
157,pot,0,0,1,-2.333218574523926,0.0
158,pot,1,1,1,-4.892409324645996,0.0
159,pot,0,0,1,-5.233817100524902,0.0
160,pot,1,2,0,-1.6334881782531738,1.0
161,pot,0,0,1,-2.8308815956115723,0.0
162,pot,1,1,1,-6.876699447631836,0.0
163,pot,0,0,1,-7.669284820556641,0.0
164,pot,1,1,1,-3.0290699005126953,0.0
165,pot,0,0,1,-6.413800239562988,0.0
166,pot,1,1,1,-4.752829551696777,0.0
167,pot,0,0,1,-6.731232166290283,0.0
168,pot,1,1,1,-5.206290245056152,0.0
169,pot,0,0,1,-2.626309394836426,0.0
170,pot,1,2,0,-1.9476394653320312,1.0
171,pot,0,0,1,-4.22191858291626,0.0
172,pot,1,1,1,-3.1711461544036865,0.0
173,pot,0,0,1,-6.311586856842041,0.0
174,pot,1,2,0,-2.9994328022003174,1.0
175,pot,0,0,1,-4.978847503662109,0.0
176,pot,1,1,1,-5.159625053405762,0.0
177,pot,0,0,1,-6.121230602264404,0.0
178,pot,1,2,0,-2.441798210144043,1.0
179,pot,0,0,1,-4.505549907684326,0.0
180,pot,1,1,1,-5.877298831939697,0.0
181,pot,0,0,1,-3.0263075828552246,0.0
182,pot,1,1,1,-6.259737014770508,0.0
183,pot,0,0,1,-6.830992698669434,0.0
184,pot,1,1,1,-6.259737014770508,0.0
185,pot,0,0,1,-4.9841485023498535,0.0
186,pot,1,2,0,-2.947108745574951,1.0
187,pot,0,0,1,-4.0012311935424805,0.0
188,pot,1,2,0,-1.38761305809021,1.0
189,pot,0,0,1,-6.0090837478637695,0.0
190,pot,1,1,1,-6.066882610321045,0.0
191,pot,0,0,1,-8.667001724243164,0.0
192,pot,1,2,0,-2.7969539165496826,1.0
193,pot,0,0,1,-3.3372600078582764,0.0
194,pot,1,1,1,-5.4728827476501465,0.0
195,pot,0,0,1,-6.570256233215332,0.0
196,pot,1,1,1,-2.3636364936828613,0.0
197,pot,0,0,1,-2.931342124938965,0.0
198,pot,1,2,0,-2.8344004154205322,1.0
199,pot,0,0,1,-4.419669151306152,0.0
