step,capital,action,oracle,correct,utility,regret
130,pc,0,2,0,-2.6795499324798584,1.0
131,pc,0,0,1,-5.060827255249023,0.0
132,pc,2,1,0,-2.6435699462890625,1.0
133,pc,0,0,1,-2.333218574523926,0.0
134,pc,0,0,1,0.4432964324951172,0.0
135,pc,2,0,0,-2.524775266647339,1.0
136,pc,1,1,1,-7.061066627502441,0.0
137,pc,0,0,1,-4.517400741577148,0.0
138,pc,0,1,0,-1.4074382781982422,1.0
139,pc,0,0,1,-1.818875789642334,0.0
140,pc,0,1,0,-1.754516839981079,1.0
141,pc,0,0,1,-1.9509754180908203,0.0
142,pc,0,2,0,-2.8305866718292236,1.0
143,pc,1,0,0,-3.438349723815918,1.0
144,pc,0,2,0,-3.344465494155884,1.0
145,pc,2,0,0,-2.0854737758636475,1.0
146,pc,0,1,0,-2.258700370788574,1.0
147,pc,2,0,0,-3.158933639526367,1.0
148,pc,2,1,0,-1.7792394161224365,1.0
149,pc,2,0,0,-3.7778520584106445,1.0
150,pc,2,2,1,-6.207993507385254,0.0
151,pc,0,0,1,-7.111547946929932,0.0
152,pc,2,1,0,-1.7733337879180908,1.0
153,pc,0,0,1,-2.972459077835083,0.0
154,pc,0,1,0,-1.0548595190048218,1.0
155,pc,0,0,1,-2.8308815956115723,0.0
156,pc,2,1,0,-2.902862787246704,1.0
157,pc,0,0,1,-2.333218574523926,0.0
158,pc,0,1,0,-2.398682117462158,1.0
159,pc,0,0,1,-5.233817100524902,0.0
160,pc,2,2,1,-3.037444591522217,0.0
161,pc,0,0,1,-2.8308815956115723,0.0
162,pc,1,1,1,-6.876699447631836,0.0
163,pc,1,0,0,-3.438349723815918,1.0
164,pc,0,1,0,-1.3866240978240967,1.0
165,pc,1,0,0,-3.212857484817505,1.0
166,pc,0,1,0,-2.324233055114746,1.0
167,pc,2,0,0,-2.9286015033721924,1.0
168,pc,0,1,0,-2.5655133724212646,1.0
169,pc,0,0,1,-2.626309394836426,0.0
170,pc,2,2,1,-3.7253661155700684,0.0
171,pc,2,0,0,-2.6435699462890625,1.0
172,pc,0,1,0,-1.465555191040039,1.0
173,pc,2,0,0,-2.694737434387207,1.0
174,pc,2,2,1,-5.966738700866699,0.0
175,pc,2,0,0,-1.9300358295440674,1.0
176,pc,2,1,0,-3.018929958343506,1.0
177,pc,0,0,1,-6.121230602264404,0.0
178,pc,0,2,0,-2.889592170715332,1.0
179,pc,2,0,0,-1.64674711227417,1.0
180,pc,2,1,0,-3.357797145843506,1.0
181,pc,0,0,1,-3.0263075828552246,0.0
182,pc,2,1,0,-3.539621353149414,1.0
183,pc,2,0,0,-2.9833693504333496,1.0
184,pc,2,1,0,-3.539621353149414,1.0
185,pc,2,0,0,-2.975996494293213,1.0
186,pc,2,2,1,-5.857203006744385,0.0
187,pc,0,0,1,-4.0012311935424805,0.0
188,pc,2,2,1,-2.488861083984375,0.0
189,pc,2,0,0,-2.524775266647339,1.0
190,pc,0,1,0,-3.019045352935791,1.0
191,pc,1,0,0,-3.9563636779785156,1.0
192,pc,0,2,0,-3.2235031127929688,1.0
193,pc,2,0,0,-0.8987166881561279,1.0
194,pc,0,1,0,-2.7064695358276367,1.0
195,pc,0,0,1,-6.570256233215332,0.0
196,pc,0,1,0,-1.0111896991729736,1.0
197,pc,0,0,1,-2.931342124938965,0.0
198,pc,2,2,1,-5.619593620300293,0.0
199,pc,2,0,0,-1.5941762924194336,1.0
0,aep,1,2,0,-2.861992120742798,1.0
1,aep,1,1,1,-3.1711461544036865,0.0
2,aep,1,1,1,-5.383496284484863,0.0
3,aep,1,1,1,-2.1876635551452637,0.0
4,aep,1,1,1,-2.4405393600463867,0.0
5,aep,2,2,1,-6.207993507385254,0.0
6,aep,1,2,0,-2.861992120742798,1.0
7,aep,1,2,0,-2.9994328022003174,1.0
8,aep,1,1,1,-5.425563812255859,0.0
9,aep,2,1,0,-2.6435699462890625,1.0
10,aep,2,2,1,-4.128691673278809,0.0
11,aep,2,2,1,-5.323126792907715,0.0
12,aep,1,1,1,-5.559378623962402,0.0
13,aep,1,1,1,-4.506629943847656,0.0
14,aep,1,1,1,-5.159625053405762,0.0
15,aep,2,2,1,-2.7349495887756348,0.0
16,aep,1,1,1,-7.3719482421875,0.0
17,aep,1,1,1,-4.912177085876465,0.0
18,aep,2,2,1,-4.057974815368652,0.0
19,aep,1,2,0,-1.8098658323287964,1.0
20,aep,2,2,1,-3.29349422454834,0.0
21,aep,1,1,1,-4.970658779144287,0.0
22,aep,1,1,1,-5.93492317199707,0.0
23,aep,1,2,0,-3.007373094558716,1.0
24,aep,1,1,1,-5.3035197257995605,0.0
25,aep,2,2,1,-5.884681224822998,0.0
26,aep,1,1,1,-5.832218170166016,0.0
27,aep,1,1,1,-2.425523042678833,0.0
28,aep,1,1,1,-6.060871124267578,0.0
29,aep,1,1,1,-3.4037742614746094,0.0
30,aep,1,2,0,-1.8098658323287964,1.0
31,aep,1,1,1,-3.984785556793213,0.0
32,aep,2,1,0,-2.6435699462890625,1.0
33,aep,1,1,1,-5.139995574951172,0.0
34,aep,2,2,1,-4.66818904876709,0.0
35,aep,2,1,0,-2.8778438568115234,1.0
36,aep,2,2,1,-6.207993507385254,0.0
37,aep,1,1,1,-7.798065185546875,0.0
38,aep,1,2,0,-2.3785386085510254,1.0
39,aep,1,1,1,-7.912727355957031,0.0
40,aep,1,2,0,-2.947108745574951,1.0
41,aep,1,2,0,-2.649780750274658,1.0
42,aep,1,2,0,-2.8613953590393066,1.0
43,aep,1,1,1,-4.921736717224121,0.0
44,aep,1,1,1,-4.742970943450928,0.0
45,aep,1,1,1,-3.3108980655670166,0.0
46,aep,1,1,1,-5.068070888519287,0.0
47,aep,1,1,1,-4.198895454406738,0.0
48,aep,1,2,0,-1.6650803089141846,1.0
49,aep,1,1,1,-5.323714256286621,0.0
50,aep,1,2,0,-2.649780750274658,1.0
51,aep,1,2,0,-1.7482779026031494,1.0
52,aep,2,2,1,-1.7974333763122559,0.0
53,aep,1,2,0,-3.336913585662842,1.0
54,aep,1,1,1,-6.259737014770508,0.0
55,aep,2,2,1,-5.201759338378906,0.0
56,aep,1,1,1,-6.060871124267578,0.0
