capital_0,capital_1,capital_2,capital_3,step
0.19835946,0.29922634,0.32305935,0.17935488,122
0.19725065,0.30314362,0.32125348,0.17835231,123
0.19801961,0.30042693,0.32250586,0.1790476,124
0.20032217,0.30392024,0.31462803,0.18112954,125
0.19820957,0.31126112,0.31131,0.17921937,126
0.20005815,0.31416407,0.304887,0.18089083,127
0.19977702,0.3137226,0.30586374,0.18063664,128
0.19839503,0.31155235,0.3106656,0.17938705,129
0.19944951,0.31320828,0.30700177,0.1803405,130
0.2011959,0.312525,0.30633202,0.17994708,131
0.20071422,0.3117768,0.30559865,0.18191029,132
0.19976543,0.310303,0.30888113,0.18105039,133
0.2013481,0.31276143,0.30340567,0.18248479,134
0.19970693,0.31021214,0.30908352,0.18099737,135
0.19878964,0.30878726,0.30766386,0.18475923,136
0.19823068,0.30791903,0.3067988,0.18705148,137
0.19774118,0.30715865,0.30851054,0.18658957,138
0.19630685,0.3121842,0.30627275,0.18523613,139
0.19775651,0.30710497,0.30853447,0.18660404,140
0.19694944,0.3058516,0.31135646,0.18584247,141
0.19328885,0.30724576,0.3127757,0.1866896,142
0.19494791,0.30661392,0.3121325,0.18630569,143
0.1953164,0.30530325,0.3127225,0.18665785,144
0.19664933,0.30738676,0.3080322,0.18793167,145
0.1962193,0.30890134,0.30735865,0.18752071,146
0.19629021,0.30901298,0.3074697,0.18722712,147
0.19466454,0.31473565,0.30492327,0.18567652,148
0.19537857,0.3158901,0.30237368,0.18635757,149
0.19553824,0.31533104,0.3026208,0.18650986,150
0.19990008,0.31362134,0.30098,0.18549861,151
0.20231721,0.31741357,0.29252765,0.1877416,152
0.20022072,0.3244867,0.28949636,0.18579616,153
0.199885,0.32462293,0.2896179,0.18587416,154
0.19934957,0.32643208,0.2888421,0.18537627,155
0.19801249,0.3269772,0.28932446,0.18568584,156
0.2002942,0.33074498,0.28113526,0.18782552,157
0.19990946,0.33203053,0.28059524,0.18746473,158
0.20233874,0.33606532,0.27185312,0.18974277,159
0.20394695,0.33538777,0.27130502,0.18936023,160
0.2054323,0.3378304,0.27328095,0.18345633,161
0.20462672,0.340427,0.2722093,0.18273693,162
0.20266688,0.34674418,0.26960218,0.18098675,163
0.20145401,0.35065365,0.26798874,0.17990363,164
0.20072255,0.34938046,0.26701567,0.18288137,165
0.20236368,0.34406084,0.26919883,0.18437663,166
0.20150688,0.34683806,0.26805905,0.18359599,167
0.20112845,0.3461867,0.26943365,0.1832512,168
0.19812068,0.34749013,0.2704481,0.18394116,169
0.19990778,0.35062456,0.27288762,0.17658012,170
0.19430548,0.35307965,0.27479836,0.17781654,171
0.19040301,0.35478985,0.2761294,0.17867781,172
0.19184971,0.3541558,0.27563593,0.17835851,173
0.19161251,0.35495436,0.27529517,0.178138,174
0.19231316,0.3562523,0.2763018,0.17513275,175
0.19350384,0.35845798,0.27182108,0.17621706,176
0.1923955,0.36213264,0.27026415,0.17520773,177
0.19283542,0.3606741,0.27088213,0.17560834,178
0.19195762,0.3635843,0.26964906,0.17480898,179
0.18191895,0.3681013,0.27299905,0.17698072,180
0.18227372,0.36794168,0.27288067,0.17690396,181
0.18024133,0.36885616,0.27355888,0.17734365,182
0.17965339,0.36765298,0.27266654,0.18002713,183
0.17716493,0.37641183,0.26888973,0.17753349,184
0.17587061,0.38096762,0.2669253,0.17623648,185
0.17575406,0.3807151,0.26674837,0.17678247,186
0.17608282,0.3795567,0.26724735,0.17711316,187
0.17527406,0.37781337,0.2706129,0.17629968,188
0.17568484,0.37869883,0.26890343,0.17671287,189
0.17526124,0.3777857,0.26825508,0.1786979,190
0.16685575,0.38163602,0.27098906,0.18051913,191
0.16730355,0.3826602,0.2690326,0.1810036,192
0.16788009,0.38053286,0.2699597,0.18162735,193
0.16750199,0.3796758,0.2716039,0.18121828,194
0.16637515,0.3771216,0.26977673,0.18672654,195
0.16606005,0.37640736,0.26926577,0.18826689,196
0.16616347,0.37664178,0.2694335,0.18776125,197
0.16718365,0.37895423,0.26494804,0.18891403,198
0.16769196,0.37706602,0.26575357,0.18948841,199
0.16844228,0.37427875,0.26694268,0.19033627,200
0.16901504,0.3755514,0.26445013,0.19098346,201
0.16850217,0.3744118,0.26364765,0.19343843,202
0.16928384,0.37614867,0.2602317,0.19433577,203
0.16871896,0.37489355,0.25936338,0.1970241,204
0.16817266,0.37691772,0.25852355,0.19638613,205
0.16809969,0.37718806,0.25841138,0.19630092,206
0.1694911,0.37203285,0.26055032,0.19792576,207
0.17109449,0.3755523,0.25355512,0.19979815,208
0.16966656,0.372418,0.25143898,0.20647654,209
0.17151049,0.3715909,0.25088057,0.206018,210
0.17188716,0.372407,0.25143155,0.20427428,211
0.17193891,0.37221798,0.25150728,0.2043358,212
0.17214268,0.371474,0.25180534,0.20457795,213
0.17237976,0.3719856,0.25077486,0.2048597,214
0.17459767,0.36390534,0.2540014,0.20749551,215
0.1759571,0.36673877,0.25597912,0.20132497,216
0.17693938,0.36878607,0.2574081,0.1968664,217
0.17697681,0.3688641,0.25725102,0.19690804,218
0.17723905,0.36941063,0.2576322,0.19571815,219
0.17475672,0.37052515,0.25840947,0.19630864,220
0.17613022,0.37343732,0.26044047,0.18999197,221
0.17620009,0.37358546,0.2601471,0.19006734,222
0.17874716,0.37898582,0.26390764,0.17835937,223
0.17853692,0.37854007,0.26359725,0.17932571,224
0.17801923,0.37744245,0.2628329,0.18170537,225
0.18282764,0.37523448,0.2612954,0.18064243,226
0.18521088,0.36709037,0.26470152,0.1829972,227
0.18652776,0.36970043,0.2594735,0.18429832,228
0.18921573,0.3684788,0.25861612,0.18368934,229
0.19181012,0.3735311,0.26216206,0.17249672,230
0.19256626,0.3750036,0.25925335,0.17317672,231
0.19304016,0.37346554,0.25989136,0.17360291,232
0.19571118,0.3647965,0.26348737,0.17600498,233
0.19613576,0.3655879,0.26188946,0.17638682,234
0.19639377,0.3660688,0.26223397,0.17530343,235
0.19431019,0.37279436,0.2594519,0.1734436,236
0.19430159,0.3728221,0.2594404,0.17343593,237
0.19286636,0.3774548,0.257524,0.17215481,238
0.19952543,0.37434074,0.2553994,0.17073451,239
0.19950175,0.37441498,0.2553691,0.17071424,240
0.20196956,0.37326065,0.25458178,0.17018794,241
0.20543496,0.3625072,0.2589499,0.17310803,242
0.2064697,0.36203504,0.25861263,0.17288256,243
0.20789726,0.36453822,0.2534866,0.1740779,244
0.20877516,0.36185485,0.25455704,0.17481299,245
0.20865141,0.36164033,0.25440615,0.17530209,246
0.20940335,0.36294362,0.255323,0.17233005,247
0.20898594,0.3642135,0.25481403,0.17198654,248
0.20962155,0.36532122,0.255589,0.16946816,249
0.20819674,0.3628381,0.25385177,0.17511338,250
0.20594566,0.3697273,0.25110704,0.17322,251
0.2097874,0.36793852,0.24989216,0.17238194,252
0.210713,0.36514983,0.2509947,0.1731425,253
0.20951015,0.36877382,0.2495619,0.17215411,254
0.20951436,0.3687812,0.24956691,0.17213744,255
0.20935445,0.369263,0.24937645,0.17200606,256
0.20664194,0.37052986,0.250232,0.17259619,257
0.20720984,0.37154818,0.2509197,0.17032231,258
0.20678511,0.37283635,0.25040537,0.1699732,259
0.20616034,0.3747312,0.24964881,0.16945964,260
0.20772642,0.36998144,0.25154525,0.17074692,261
0.20805779,0.36897635,0.25194654,0.17101932,262
0.20746985,0.3707596,0.25123456,0.17053604,263
0.20647208,0.37378573,0.25002632,0.1697159,264
0.20583673,0.3726355,0.24925694,0.1722708,265
0.20557901,0.37216896,0.24894485,0.17330715,266
0.20202368,0.37383455,0.25005898,0.17408276,267
0.20234832,0.37443528,0.2504608,0.17275564,268
0.20228176,0.37464103,0.2503784,0.17269881,269
0.20178416,0.37617937,0.24976249,0.172274,270
0.20280077,0.37303653,0.25102082,0.17314193,271
0.21874036,0.36557782,0.24600177,0.16968003,272
0.21964012,0.36708158,0.2429003,0.17037798,273
0.22022069,0.36540866,0.24354234,0.17082834,274
0.22634731,0.36253768,0.24162886,0.16948617,275
0.22582221,0.36169666,0.2433882,0.16909297,276
0.22331674,0.35768366,0.25178277,0.1672169,277
0.22368075,0.35826668,0.25219318,0.16585943,278
