allocator,weight_entropy,max_weight,transition_norm,row_sum_error,col_sum_error,capital_trust_explosion_score,weight_turnover_rate,weight_collapse_ratio,oscillation_energy
Unconstrained,0.9980390565626976,0.2734246551990509,0.0,0.0,0.0,0.013367664121391964,0.0021359941456466913,0.0,9.928285180649254e-06
SimplexWeight,0.5778194421625875,0.7660465240478516,0.0,0.0,0.0,0.01178676187762152,0.00018727194401435554,0.0,1.0658372957550455e-06
BirkhoffTransition,1.0000000027478353,0.25,0.9999990463256836,9.588003158569335e-07,9.963015715281168e-07,0.0,0.0,0.0,0.0
