seed,state_idx,split,ood_type,horizon,outcome_m1,outcome_0,outcome_p1,residual_m1,residual_p1,best_action,mode,history_obs,history_act
2,1111,train,none,5,"[-0.07044750452041626, -0.31047579646110535]","[-0.8960762619972229, -1.136104702949524]","[-2.959970235824585, -3.199998378753662]","[0.8256287574768066, 0.8256288766860962]","[-2.063894033432007, -2.0638937950134277]",-1,1,"[[-2.4565298557281494, -1.6285052299499512], [-2.5989201068878174, -1.7871345281600952], [-2.064873695373535, -0.9520010948181152], [-2.5303304195404053, -0.930817186832428], [-2.2277562618255615, -2.1961452960968018], [-1.5737245082855225, -1.9680191278457642], [-1.1134793758392334, -2.424802303314209], [-1.2572484016418457, -2.633819818496704]]","[0.0, 1.0, -1.0, 1.0, 1.0, -1.0, -1.0, 1.0]"
2,362,train,none,1,"[-4.574854850769043, 1.0073573589324951]","[-4.603883266448975, 0.9783293008804321]","[-5.03291130065918, 0.549301266670227]","[0.02902841567993164, 0.02902805805206299]","[-0.4290280342102051, -0.4290280342102051]",-1,1,"[[-4.552345275878906, 0.42588773369789124], [-4.024307727813721, 0.484978586435318], [-4.5145955085754395, 1.7686023712158203], [-4.230626583099365, 1.453062891960144], [-4.144491672515869, 1.4944270849227905], [-3.3148725032806396, 1.7115952968597412], [-3.7134454250335693, 1.4673105478286743], [-4.098468780517578, 0.3429054021835327]]","[1.0, -1.0, -1.0, 0.0, -1.0, 0.0, 0.0, 0.0]"
2,362,train,none,3,"[-3.482250452041626, 1.076123833656311]","[-3.5647475719451904, 0.9936270117759705]","[-4.748847007751465, -0.1904723048210144]","[0.08249711990356445, 0.08249682188034058]","[-1.1840994358062744, -1.1840993165969849]",-1,1,"[[-4.552345275878906, 0.42588773369789124], [-4.024307727813721, 0.484978586435318], [-4.5145955085754395, 1.7686023712158203], [-4.230626583099365, 1.453062891960144], [-4.144491672515869, 1.4944270849227905], [-3.3148725032806396, 1.7115952968597412], [-3.7134454250335693, 1.4673105478286743], [-4.098468780517578, 0.3429054021835327]]","[1.0, -1.0, -1.0, 0.0, -1.0, 0.0, 0.0, 0.0]"
2,362,train,none,5,"[-2.923449754714966, 1.3383370637893677]","[-3.0945587158203125, 1.1672285795211792]","[-4.953869819641113, -0.6920827627182007]","[0.17110896110534668, 0.17110848426818848]","[-1.8593111038208008, -1.8593113422393799]",-1,1,"[[-4.552345275878906, 0.42588773369789124], [-4.024307727813721, 0.484978586435318], [-4.5145955085754395, 1.7686023712158203], [-4.230626583099365, 1.453062891960144], [-4.144491672515869, 1.4944270849227905], [-3.3148725032806396, 1.7115952968597412], [-3.7134454250335693, 1.4673105478286743], [-4.098468780517578, 0.3429054021835327]]","[1.0, -1.0, -1.0, 0.0, -1.0, 0.0, 0.0, 0.0]"
2,2528,train,none,1,"[-1.466391682624817, -3.1603105068206787]","[-1.4948875904083252, -3.1888065338134766]","[-1.9233834743499756, -3.617302417755127]","[0.0284959077835083, 0.02849602699279785]","[-0.4284958839416504, -0.4284958839416504]",-1,1,"[[-2.2334368228912354, -1.8797645568847656], [-2.905237913131714, -2.2693512439727783], [-2.9167561531066895, -2.869596481323242], [-3.8676743507385254, -3.1723506450653076], [-3.6787867546081543, -4.174855709075928], [-2.8508944511413574, -4.216919898986816], [-2.2414777278900146, -3.7300384044647217], [-0.8258419036865234, -4.043553352355957]]","[1.0, 0.0, 1.0, 1.0, 0.0, -1.0, -1.0, 0.0]"
2,2528,train,none,3,"[-0.6072344779968262, -2.6155683994293213]","[-0.7588790059089661, -2.7672131061553955]","[-1.9775630235671997, -3.9858970642089844]","[0.1516445279121399, 0.15164470672607422]","[-1.2186839580535889, -1.2186839580535889]",-1,1,"[[-2.2334368228912354, -1.8797645568847656], [-2.905237913131714, -2.2693512439727783], [-2.9167561531066895, -2.869596481323242], [-3.8676743507385254, -3.1723506450653076], [-3.6787867546081543, -4.174855709075928], [-2.8508944511413574, -4.216919898986816], [-2.2414777278900146, -3.7300384044647217], [-0.8258419036865234, -4.043553352355957]]","[1.0, 0.0, 1.0, 1.0, 0.0, -1.0, -1.0, 0.0]"
2,2528,train,none,5,"[-0.1756526231765747, -1.8403199911117554]","[-0.5622621178627014, -2.2269296646118164]","[-2.4794254302978516, -4.144093036651611]","[0.3866094946861267, 0.38660967350006104]","[-1.917163372039795, -1.917163372039795]",-1,1,"[[-2.2334368228912354, -1.8797645568847656], [-2.905237913131714, -2.2693512439727783], [-2.9167561531066895, -2.869596481323242], [-3.8676743507385254, -3.1723506450653076], [-3.6787867546081543, -4.174855709075928], [-2.8508944511413574, -4.216919898986816], [-2.2414777278900146, -3.7300384044647217], [-0.8258419036865234, -4.043553352355957]]","[1.0, 0.0, 1.0, 1.0, 0.0, -1.0, -1.0, 0.0]"
2,1133,train,none,1,"[-4.953244209289551, -1.0941301584243774]","[-4.529402256011963, -0.6702878475189209]","[-4.505559921264648, -0.6464455723762512]","[-0.4238419532775879, -0.42384231090545654]","[0.023842334747314453, 0.023842275142669678]",1,0,"[[-2.2111239433288574, -0.5569052696228027], [-0.8101040124893188, -0.7240899801254272], [-2.1129887104034424, -2.431628704071045], [-3.344698905944824, -2.079347848892212], [-4.455653667449951, -2.0398166179656982], [-3.917900800704956, -1.9179527759552002], [-3.696286201477051, -1.4365392923355103], [-4.0200676918029785, -1.3924810886383057]]","[0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0]"
2,1133,train,none,3,"[-4.670177936553955, -1.666899561882019]","[-3.497528553009033, -0.49424999952316284]","[-3.4114747047424316, -0.40819624066352844]","[-1.1726493835449219, -1.172649621963501]","[0.08605384826660156, 0.0860537588596344]",1,0,"[[-2.2111239433288574, -0.5569052696228027], [-0.8101040124893188, -0.7240899801254272], [-2.1129887104034424, -2.431628704071045], [-3.344698905944824, -2.079347848892212], [-4.455653667449951, -2.0398166179656982], [-3.917900800704956, -1.9179527759552002], [-3.696286201477051, -1.4365392923355103], [-4.0200676918029785, -1.3924810886383057]]","[0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0]"
2,1133,train,none,5,"[-4.872889041900635, -2.014575958251953]","[-3.033893346786499, -0.17558041214942932]","[-2.82924747467041, 0.029065223410725594]","[-1.8389956951141357, -1.8389955759048462]","[0.20464587211608887, 0.20464563369750977]",1,0,"[[-2.2111239433288574, -0.5569052696228027], [-0.8101040124893188, -0.7240899801254272], [-2.1129887104034424, -2.431628704071045], [-3.344698905944824, -2.079347848892212], [-4.455653667449951, -2.0398166179656982], [-3.917900800704956, -1.9179527759552002], [-3.696286201477051, -1.4365392923355103], [-4.0200676918029785, -1.3924810886383057]]","[0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0]"
