seed,state_idx,split,ood_type,horizon,outcome_m1,outcome_0,outcome_p1,residual_m1,residual_p1,best_action,mode,history_obs,history_act
3,2254,train,none,3,"[-0.7176133990287781, -1.2897148132324219]","[-1.1072897911071777, -1.6793911457061768]","[-2.473339319229126, -3.045440912246704]","[0.38967639207839966, 0.3896763324737549]","[-1.3660495281219482, -1.3660497665405273]",-1,1,"[[-1.824789047241211, -3.6292428970336914], [-1.331893801689148, -3.870856523513794], [-1.3133834600448608, -3.522385835647583], [-1.4328176975250244, -3.824632406234741], [-1.2316004037857056, -3.5478920936584473], [-1.2826876640319824, -3.0143914222717285], [-1.421476125717163, -2.5396978855133057], [-1.3935625553131104, -2.190129041671753]]","[-1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 0.0]"
3,2254,train,none,5,"[-0.3396374583244324, -1.0381022691726685]","[-1.1171375513076782, -1.81560218334198]","[-3.182921886444092, -3.8813867568969727]","[0.7775000929832458, 0.7774999141693115]","[-2.065784454345703, -2.065784454345703]",-1,1,"[[-1.824789047241211, -3.6292428970336914], [-1.331893801689148, -3.870856523513794], [-1.3133834600448608, -3.522385835647583], [-1.4328176975250244, -3.824632406234741], [-1.2316004037857056, -3.5478920936584473], [-1.2826876640319824, -3.0143914222717285], [-1.421476125717163, -2.5396978855133057], [-1.3935625553131104, -2.190129041671753]]","[-1.0, -1.0, -1.0, 1.0, -1.0, -1.0, -1.0, 0.0]"
3,1904,train,none,1,"[-3.3743197917938232, -3.8941400051116943]","[-2.973478317260742, -3.4932985305786133]","[-2.9726366996765137, -3.4924569129943848]","[-0.40084147453308105, -0.40084147453308105]","[0.0008416175842285156, 0.0008416175842285156]",1,0,"[[-2.2740578651428223, -2.0382239818573], [-2.33107852935791, -1.9196491241455078], [-2.711989402770996, -2.5583925247192383], [-2.941420555114746, -3.157245635986328], [-3.1370601654052734, -3.060889720916748], [-3.118849039077759, -2.7549562454223633], [-2.9979183673858643, -3.18683123588562], [-3.348522901535034, -3.6735472679138184]]","[-1.0, 1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0]"
3,1904,train,none,3,"[-3.9114902019500732, -4.07930326461792]","[-2.783424139022827, -2.951237201690674]","[-2.7462821006774902, -2.914095163345337]","[-1.128066062927246, -1.128066062927246]","[0.037142038345336914, 0.037142038345336914]",1,0,"[[-2.2740578651428223, -2.0382239818573], [-2.33107852935791, -1.9196491241455078], [-2.711989402770996, -2.5583925247192383], [-2.941420555114746, -3.157245635986328], [-3.1370601654052734, -3.060889720916748], [-3.118849039077759, -2.7549562454223633], [-2.9979183673858643, -3.18683123588562], [-3.348522901535034, -3.6735472679138184]]","[-1.0, 1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0]"
3,1904,train,none,5,"[-4.387402057647705, -4.720996379852295]","[-2.6298487186431885, -2.9634432792663574]","[-2.524233341217041, -2.85782790184021]","[-1.7575533390045166, -1.7575531005859375]","[0.10561537742614746, 0.10561537742614746]",1,0,"[[-2.2740578651428223, -2.0382239818573], [-2.33107852935791, -1.9196491241455078], [-2.711989402770996, -2.5583925247192383], [-2.941420555114746, -3.157245635986328], [-3.1370601654052734, -3.060889720916748], [-3.118849039077759, -2.7549562454223633], [-2.9979183673858643, -3.18683123588562], [-3.348522901535034, -3.6735472679138184]]","[-1.0, 1.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0]"
3,2488,train,none,1,"[-3.017793655395508, -2.253847599029541]","[-2.562037944793701, -1.7980917692184448]","[-2.506282329559326, -1.7423361539840698]","[-0.45575571060180664, -0.4557558298110962]","[0.055755615234375, 0.055755615234375]",1,0,"[[-3.692077398300171, -1.1327530145645142], [-3.3392910957336426, -0.9836379289627075], [-2.98173451423645, -0.9324741363525391], [-2.7098493576049805, -0.9181092381477356], [-3.185847759246826, -1.5424176454544067], [-2.8979594707489014, -1.3914393186569214], [-3.127772092819214, -1.8437668085098267], [-2.9154279232025146, -1.889119267463684]]","[0.0, 1.0, 1.0, 1.0, -1.0, 0.0, -1.0, 1.0]"
3,2488,train,none,3,"[-3.671743631362915, -2.680957317352295]","[-2.4120991230010986, -1.421312928199768]","[-2.1945977210998535, -1.2038116455078125]","[-1.2596445083618164, -1.2596443891525269]","[0.21750140190124512, 0.21750128269195557]",1,0,"[[-3.692077398300171, -1.1327530145645142], [-3.3392910957336426, -0.9836379289627075], [-2.98173451423645, -0.9324741363525391], [-2.7098493576049805, -0.9181092381477356], [-3.185847759246826, -1.5424176454544067], [-2.8979594707489014, -1.3914393186569214], [-3.127772092819214, -1.8437668085098267], [-2.9154279232025146, -1.889119267463684]]","[0.0, 1.0, 1.0, 1.0, -1.0, 0.0, -1.0, 1.0]"
3,2488,train,none,5,"[-4.226538181304932, -3.5144970417022705]","[-2.2947280406951904, -1.5826865434646606]","[-1.8633160591125488, -1.1512748003005981]","[-1.9318101406097412, -1.9318104982376099]","[0.4314119815826416, 0.4314117431640625]",1,0,"[[-3.692077398300171, -1.1327530145645142], [-3.3392910957336426, -0.9836379289627075], [-2.98173451423645, -0.9324741363525391], [-2.7098493576049805, -0.9181092381477356], [-3.185847759246826, -1.5424176454544067], [-2.8979594707489014, -1.3914393186569214], [-3.127772092819214, -1.8437668085098267], [-2.9154279232025146, -1.889119267463684]]","[0.0, 1.0, 1.0, 1.0, -1.0, 0.0, -1.0, 1.0]"
3,22,train,none,1,"[-2.364107608795166, -2.5397701263427734]","[-2.403013229370117, -2.5786755084991455]","[-2.841918706893921, -3.017580986022949]","[0.03890562057495117, 0.03890538215637207]","[-0.4389054775238037, -0.4389054775238037]",-1,1,"[[-1.0575568675994873, -1.5154300928115845], [-0.899465799331665, -1.4643677473068237], [-1.5826679468154907, -1.8751178979873657], [-2.3410191535949707, -2.3485963344573975], [-2.4501328468322754, -2.267092704772949], [-2.5402865409851074, -2.2551300525665283], [-2.582669496536255, -2.315222978591919], [-2.748033285140991, -2.7107863426208496]]","[1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0]"
3,22,train,none,3,"[-2.1073496341705322, -1.9645602703094482]","[-2.2685792446136475, -2.1257896423339844]","[-3.4880354404449463, -3.345245838165283]","[0.16122961044311523, 0.16122937202453613]","[-1.2194561958312988, -1.2194561958312988]",-1,1,"[[-1.0575568675994873, -1.5154300928115845], [-0.899465799331665, -1.4643677473068237], [-1.5826679468154907, -1.8751178979873657], [-2.3410191535949707, -2.3485963344573975], [-2.4501328468322754, -2.267092704772949], [-2.5402865409851074, -2.2551300525665283], [-2.582669496536255, -2.315222978591919], [-2.748033285140991, -2.7107863426208496]]","[1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0]"
