mechanism,tag,param_estimate,U1_match,U2_U5_mean_match,goal_transfer_score,transfer_premium,policy_clone_overfit_index,cost_normalized_transfer_premium
PolicyCloneBaseline,parametric,20000,0.7666666666666667,0.32875,0.32875,-0.43791666666666673,0.43791666666666673,-0.021895833333333337
CounterfactualCompressor,parametric,25000,0.745,0.39458333333333334,0.39458333333333334,-0.35041666666666665,0.35041666666666665,-0.014016666666666667
AEPCompressor,parametric,35000,0.5933333333333334,0.7125,0.7125,0.11916666666666664,-0.11916666666666664,0.003404761904761904
ResidualCompressor,parametric,40000,0.6433333333333332,0.7279166666666667,0.7279166666666667,0.08458333333333345,-0.08458333333333345,0.0021145833333333364
StateOnlyDynamics,parametric,18000,0.48166666666666663,0.39208333333333334,0.39208333333333334,-0.08958333333333329,0.08958333333333329,-0.0049768518518518495
