seed,n_samples,action_-1,action_0,action_+1,dominant_action,dominant_prob
0,1200,0.45666666666666667,0.10416666666666667,0.43916666666666665,-1,0.45666666666666667
1,1200,0.43916666666666665,0.1025,0.4583333333333333,1,0.4583333333333333
2,1200,0.43333333333333335,0.049166666666666664,0.5175,1,0.5175
3,1200,0.44583333333333336,0.10666666666666667,0.4475,1,0.4475
4,1200,0.43083333333333335,0.11,0.45916666666666667,1,0.45916666666666667
