selector,selector_reward,delta_vs_BestSingle,cumulative_regret,oracle_gap
BestSingleCapital,0.6050000190734863,0.0,97.0,0.1616666316986084
LogisticRegressionSelector_v1,0.2916666567325592,-0.3133333623409271,285.0,0.4749999940395355
RandomForestSelector_v1,0.2916666567325592,-0.3133333623409271,285.0,0.4749999940395355
MLPReportSelector_v1,0.2916666567325592,-0.3133333623409271,285.0,0.4749999940395355
OracleHindsight,0.7666666507720947,0.1616666316986084,0.0,0.0
