seed,max_capital_score,OracleHindsight,oracle_gain,all_near_random
43,0.02666666731238365,0.07999999821186066,0.053333330899477005,True
44,0.046666666865348816,0.09333333373069763,0.046666666865348816,True
45,0.013333333656191826,0.019999999552965164,0.006666665896773338,True
46,0.03333333507180214,0.03999999910593033,0.006666664034128189,True
47,0.02666666731238365,0.08666666597127914,0.05999999865889549,True
48,0.02666666731238365,0.05999999865889549,0.03333333134651184,True
49,0.03333333507180214,0.07333333045244217,0.03999999538064003,True
50,0.03333333507180214,0.07333333045244217,0.03999999538064003,True
51,0.03333333507180214,0.08666666597127914,0.053333330899477005,True
52,0.019999999552965164,0.046666666865348816,0.02666666731238365,True
