configuration,mean_reward,std_reward,min_reward,max_reward
full_v2,0.6800000011920929,0.015758593747785703,0.6449999809265137,0.6983333230018616
minus_counterfactual,0.6538333356380462,0.013785067316273138,0.6266666650772095,0.6733333468437195
minus_disagreement,0.6668333411216736,0.012302896548673389,0.6433333158493042,0.6866666674613953
minus_expected_regret,0.6745000004768371,0.015221518530833101,0.6466666460037231,0.6933333277702332
minus_margin,0.604666668176651,0.013820285070391297,0.5799999833106995,0.621666669845581
minus_support,0.6590000033378601,0.012914259077098018,0.6349999904632568,0.6800000071525574
minus_uncertainty,0.6635000109672546,0.009382316992030891,0.6499999761581421,0.6833333373069763
only_counterfactual,0.6929999947547912,0.006446353720876732,0.6816666722297668,0.70333331823349
only_disagreement,0.6936666607856751,0.007738783797209547,0.6833333373069763,0.7049999833106995
only_expected_regret,0.6929999947547912,0.006446353720876732,0.6816666722297668,0.70333331823349
only_margin,0.6929999947547912,0.006446353720876732,0.6816666722297668,0.70333331823349
only_support,0.6929999947547912,0.006446353720876732,0.6816666722297668,0.70333331823349
only_uncertainty,0.6998333215713501,0.007049421937993142,0.6866666674613953,0.7083333134651184
v1_only,0.6929999947547912,0.006446353720876732,0.6816666722297668,0.70333331823349
