capital_id,capital_type,field_index,field_name,provided,default_value,status,dimension
AEP,AEPCapital,7,realization_rate,default,0,MISSING_DEFAULT,capital_2_field_7
AEP,AEPCapital,8,capital_local_ood_score,computed,N/A,OK,capital_2_field_8
AEP,AEPCapital,9,nearest_support_distance,computed,N/A,OK,capital_2_field_9
AEP,AEPCapital,10,inference_cost,computed,N/A,OK,capital_2_field_10
AEP,AEPCapital,11,update_cost,computed,N/A,OK,capital_2_field_11
AEP,AEPCapital,12,storage_cost,computed,N/A,OK,capital_2_field_12
AEP,AEPCapital,13,probe_cost,default,0,MISSING_DEFAULT,capital_2_field_13
AEP,AEPCapital,14,goal_shift_score,default,0,MISSING_DEFAULT,capital_2_field_14
AEP,AEPCapital,15,transfer_success_rate,default,0,MISSING_DEFAULT,capital_2_field_15
AEP,AEPCapital,16,recent_transfer_regret,default,0,MISSING_DEFAULT,capital_2_field_16
AEP,AEPCapital,17,expected_probe_value,computed,N/A,OK,capital_2_field_17
AEP,AEPCapital,18,uncertainty_reduction_if_probe,default,0,MISSING_DEFAULT,capital_2_field_18
AEP,AEPCapital,19,capital_age,default,0,MISSING_DEFAULT,capital_2_field_19
AEP,AEPCapital,20,depreciation_score,default,0,MISSING_DEFAULT,capital_2_field_20
AEP,AEPCapital,21,bad_debt_score,default,0,MISSING_DEFAULT,capital_2_field_21
AEP,AEPCapital,22,impairment_flag,default,0,MISSING_DEFAULT,capital_2_field_22
GoalInference,GoalInferenceCapital,0,recommended_action,default,0,MISSING_DEFAULT,capital_3_field_0
GoalInference,GoalInferenceCapital,1,predicted_utility,default,0,MISSING_DEFAULT,capital_3_field_1
GoalInference,GoalInferenceCapital,2,recent_prediction_error,computed,N/A,OK,capital_3_field_2
GoalInference,GoalInferenceCapital,3,recent_regret,computed,N/A,OK,capital_3_field_3
GoalInference,GoalInferenceCapital,4,confidence,computed,N/A,OK,capital_3_field_4
GoalInference,GoalInferenceCapital,5,calibration_error,default,0,MISSING_DEFAULT,capital_3_field_5
GoalInference,GoalInferenceCapital,6,realized_utility,computed,N/A,OK,capital_3_field_6
GoalInference,GoalInferenceCapital,7,realization_rate,default,0,MISSING_DEFAULT,capital_3_field_7
GoalInference,GoalInferenceCapital,8,capital_local_ood_score,computed,N/A,OK,capital_3_field_8
GoalInference,GoalInferenceCapital,9,nearest_support_distance,default,0,MISSING_DEFAULT,capital_3_field_9
GoalInference,GoalInferenceCapital,10,inference_cost,computed,N/A,OK,capital_3_field_10
GoalInference,GoalInferenceCapital,11,update_cost,computed,N/A,OK,capital_3_field_11
GoalInference,GoalInferenceCapital,12,storage_cost,computed,N/A,OK,capital_3_field_12
GoalInference,GoalInferenceCapital,13,probe_cost,default,0,MISSING_DEFAULT,capital_3_field_13
GoalInference,GoalInferenceCapital,14,goal_shift_score,computed,N/A,OK,capital_3_field_14
GoalInference,GoalInferenceCapital,15,transfer_success_rate,computed,N/A,OK,capital_3_field_15
GoalInference,GoalInferenceCapital,16,recent_transfer_regret,default,0,MISSING_DEFAULT,capital_3_field_16
GoalInference,GoalInferenceCapital,17,expected_probe_value,computed,N/A,OK,capital_3_field_17
GoalInference,GoalInferenceCapital,18,uncertainty_reduction_if_probe,default,0,MISSING_DEFAULT,capital_3_field_18
GoalInference,GoalInferenceCapital,19,capital_age,computed,N/A,OK,capital_3_field_19
GoalInference,GoalInferenceCapital,20,depreciation_score,computed,N/A,OK,capital_3_field_20
GoalInference,GoalInferenceCapital,21,bad_debt_score,default,0,MISSING_DEFAULT,capital_3_field_21
GoalInference,GoalInferenceCapital,22,impairment_flag,computed,N/A,OK,capital_3_field_22
SafeFallback,SafeFallbackCapital,0,recommended_action,computed,N/A,OK,capital_4_field_0
SafeFallback,SafeFallbackCapital,1,predicted_utility,computed,N/A,OK,capital_4_field_1
SafeFallback,SafeFallbackCapital,2,recent_prediction_error,computed,N/A,OK,capital_4_field_2
SafeFallback,SafeFallbackCapital,3,recent_regret,computed,N/A,OK,capital_4_field_3
SafeFallback,SafeFallbackCapital,4,confidence,computed,N/A,OK,capital_4_field_4
SafeFallback,SafeFallbackCapital,5,calibration_error,computed,N/A,OK,capital_4_field_5
SafeFallback,SafeFallbackCapital,6,realized_utility,computed,N/A,OK,capital_4_field_6
SafeFallback,SafeFallbackCapital,7,realization_rate,computed,N/A,OK,capital_4_field_7
SafeFallback,SafeFallbackCapital,8,capital_local_ood_score,computed,N/A,OK,capital_4_field_8
SafeFallback,SafeFallbackCapital,9,nearest_support_distance,computed,N/A,OK,capital_4_field_9
SafeFallback,SafeFallbackCapital,10,inference_cost,computed,N/A,OK,capital_4_field_10
