capital_id,weight_mean,weight_std,weight_before_impairment,weight_after_impairment,regret_before_impairment,regret_after_impairment,impairment_detection_delay,fallback_triggered,depreciation_effect
PolicyClone,0.013258577796097747,0.0665845225557531,0.14173384549697804,0.19606660491144973,0.0,0.1,2,1.0,1.0
PrototypeOutcome,0.4411443548242969,0.15419302534015172,0.3364427784607981,0.004779424634230529,0.0,0.1,8,0.0,-2.972022751591238
AEP,0.46544020805748637,0.15460061159106478,0.27819032499261875,0.16518108422658143,0.0,0.1,8,0.0,-1.2835731012000764
GoalInference,0.030390924177850654,0.1373628840861472,0.1923604059122296,0.13672703019614646,0.0,0.1,2,1.0,0.9446172387537315
SafeFallback,0.04976593514426838,0.10106828122840274,0.10979166623740513,0.06497253954558953,0.2,0.5,117,1.0,1.0
