eval_seed,BestSingleCapital,UniformPortfolio,RandomAllocator,OracleHindsightAllocator,MetaMLPAllocator,FeedbackControlledAllocator,SimplexWeightAllocator,BirkhoffTransitionAllocator,delta_cb_vs_bs,delta_mlp_vs_bs,delta_sx_vs_bs,delta_bf_vs_bs
43,0.6200000047683716,0.37166666984558105,0.3583333194255829,0.7566666603088379,0.41999998688697815,0.4333333373069763,0.2916666567325592,0.2916666567325592,-0.18666666746139526,-0.20000001788139343,-0.3283333480358124,-0.3283333480358124
44,0.5933333039283752,0.3816666603088379,0.3583333194255829,0.7733333110809326,0.4533333480358124,0.4583333432674408,0.2849999964237213,0.2849999964237213,-0.13499996066093445,-0.13999995589256287,-0.30833330750465393,-0.30833330750465393
45,0.5950000286102295,0.37833333015441895,0.36666667461395264,0.7566666603088379,0.5016666650772095,0.5083333253860474,0.3016666769981384,0.3016666769981384,-0.08666670322418213,-0.09333336353302002,-0.29333335161209106,-0.29333335161209106
46,0.5883333086967468,0.37833333015441895,0.3583333194255829,0.7416666746139526,0.3083333373069763,0.28999999165534973,0.3016666769981384,0.3016666769981384,-0.2983333170413971,-0.2799999713897705,-0.2866666316986084,-0.2866666316986084
47,0.6100000143051147,0.3816666603088379,0.3616666793823242,0.7549999952316284,0.27666667103767395,0.20666666328907013,0.2916666567325592,0.2916666567325592,-0.4033333510160446,-0.3333333432674408,-0.31833335757255554,-0.31833335757255554
48,0.5933333039283752,0.38999998569488525,0.3499999940395355,0.7833333611488342,0.3633333444595337,0.46166667342185974,0.30666667222976685,0.30666667222976685,-0.1316666305065155,-0.22999995946884155,-0.2866666316986084,-0.2866666316986084
49,0.6183333396911621,0.3933333456516266,0.3933333456516266,0.7683333158493042,0.5016666650772095,0.5049999952316284,0.30666667222976685,0.30666667222976685,-0.11333334445953369,-0.11666667461395264,-0.31166666746139526,-0.31166666746139526
50,0.6000000238418579,0.4050000011920929,0.3616666793823242,0.7733333110809326,0.3216666579246521,0.3449999988079071,0.3050000071525574,0.3050000071525574,-0.2550000250339508,-0.2783333659172058,-0.29500001668930054,-0.29500001668930054
51,0.6200000047683716,0.3916666805744171,0.3766666650772095,0.7850000262260437,0.3933333456516266,0.3733333349227905,0.30000001192092896,0.30000001192092896,-0.24666666984558105,-0.226666659116745,-0.3199999928474426,-0.3199999928474426
52,0.5983333587646484,0.36500000953674316,0.3866666555404663,0.7733333110809326,0.29499998688697815,0.30000001192092896,0.27666667103767395,0.27666667103767395,-0.2983333468437195,-0.3033333718776703,-0.3216666877269745,-0.3216666877269745
