allocator,capital_id,weight_entropy,max_weight,weight_mean,weight_std,weight_turnover_rate,oscillation_energy,capital_trust_explosion_score,bad_capital_amplification_score
SimplexWeightAllocator,PolicyClone,79.23504606414448,0.8500001836568515,0.7103748665026893,0.18774164589977851,0.0012447171114170577,1.1728450461394211e-05,0.5103748665026894,0.0
SimplexWeightAllocator,PrototypeOutcome,66.1816288738619,0.19999999999999998,0.07240628337432767,0.04693541147494463,0.00031117927785426284,7.330281538371372e-07,0.5103748665026894,0.0
SimplexWeightAllocator,AEP,66.1816288738619,0.19999999999999998,0.07240628337432767,0.04693541147494463,0.00031117927785426284,7.330281538371372e-07,0.5103748665026894,0.0
SimplexWeightAllocator,GoalInference,66.1816288738619,0.19999999999999998,0.07240628337432767,0.04693541147494463,0.00031117927785426284,7.330281538371372e-07,0.5103748665026894,0.0
SimplexWeightAllocator,SafeFallback,66.1816288738619,0.19999999999999998,0.07240628337432767,0.04693541147494463,0.00031117927785426284,7.330281538371372e-07,0.5103748665026894,0.0
BirkhoffTransitionAllocator,PolicyClone,120.0000006771059,0.20000000298023224,0.20000000298023224,0.0,0.0,0.0,0.0,0.0
BirkhoffTransitionAllocator,PrototypeOutcome,120.0000006771059,0.20000000298023224,0.20000000298023224,0.0,0.0,0.0,0.0,0.0
BirkhoffTransitionAllocator,AEP,120.0000006771059,0.20000000298023224,0.20000000298023224,0.0,0.0,0.0,0.0,0.0
BirkhoffTransitionAllocator,GoalInference,120.0000006771059,0.20000000298023224,0.20000000298023224,0.0,0.0,0.0,0.0,0.0
BirkhoffTransitionAllocator,SafeFallback,120.0000006771059,0.20000000298023224,0.20000000298023224,0.0,0.0,0.0,0.0,0.0
FeedbackControlledAllocator,PolicyClone,5.51736528726781,0.4260748684166119,0.013258577796097747,0.0665845225557531,0.0019226361303297994,0.0001458869726219285,0.26544020805748636,0.0
FeedbackControlledAllocator,PrototypeOutcome,117.99283840011111,0.5957782097242738,0.4411443548242969,0.15419302534015172,0.011978315658779362,0.000750690035583714,0.26544020805748636,0.0
FeedbackControlledAllocator,AEP,122.5920260368181,0.99999999999225,0.46544020805748637,0.15460061159106478,0.011379829459144161,0.0006838718673430579,0.26544020805748636,0.0
FeedbackControlledAllocator,GoalInference,7.462536030928686,0.9999903114949699,0.030390924177850654,0.1373628840861472,0.005849929288053247,0.0006804503906539178,0.26544020805748636,0.0
FeedbackControlledAllocator,SafeFallback,26.642939690425166,0.43483796653280893,0.04976593514426838,0.10106828122840274,0.0032753332152344957,0.00020824052613469335,0.26544020805748636,0.0
