allocator,mean_correct,delta_vs_BestSingle,beats_BestSingle,cumulative_regret,external_score,synth_score,external_pct
BestSingleCapital,0.5950000286102295,0.0,False,97.0,0.013333333656191826,0.7888888716697693,0.25
UniformPortfolio,0.37833333015441895,-0.21666669845581055,False,227.0,0.013333333656191826,0.5,0.25
RandomAllocator,0.36666667461395264,-0.22833335399627686,False,234.0,0.013333333656191826,0.48444443941116333,0.25
OracleHindsightAllocator,0.7566666603088379,0.1616666316986084,True,0.0,0.07999999821186066,0.9822221994400024,0.25
MetaMLPAllocator,0.5016666650772095,-0.09333336353302002,False,153.0,0.0,0.6688888669013977,0.25
FeedbackControlledAllocator,0.5083333253860474,-0.08666670322418213,False,149.0,0.006666666828095913,0.6755555272102356,0.25
SimplexWeightAllocator,0.3016666769981384,-0.29333335161209106,False,273.0,0.006666666828095913,0.4000000059604645,0.25
BirkhoffTransitionAllocator,0.3016666769981384,-0.29333335161209106,False,273.0,0.006666666828095913,0.4000000059604645,0.25
