mechanism,heldout_match,far_ood_match,dataset_scaling_slope,total_capital_cost,cost_normalized_match
AEPCompressor,0.9542857142857143,0.6,0.01699858773563173,52141.0,0.018302021715841936
ResidualCompressor,0.9532142857142857,0.6496428571428572,0.016470088254787116,34529.0,0.027606194379051978
CounterfactualCompressor,0.4164285714285715,0.0,0.0,38229.0,0.0108930019469139
RawMemoryOutcomeTableFull,0.8955952380952381,0.8810714285714286,0.005149530022903561,4977.0,0.17994680291244486
StandardizedKNNOutcomeTable,0.8955952380952381,0.0,0.0,4968.0,0.1802727934974312
PrototypeOutcomeTable,0.8998809523809524,0.8701785714285715,0.001398031423977571,5409.0,0.1663673419081073
