budget_type,budget,n_clusters,mechanism,utility,utility_type,utility_complexity,match,stored_bytes
memory,200.0,,RawMemoryOutcomeTable,H_linear_0,linear,1,0.995,108
memory,200.0,,StandardizedKNNOutcomeTable,H_linear_0,linear,1,0.995,108
memory,200.0,,RawMemoryOutcomeTable,H_linear_1,linear,1,1.0,108
memory,200.0,,StandardizedKNNOutcomeTable,H_linear_1,linear,1,1.0,108
memory,200.0,,RawMemoryOutcomeTable,H_linear_2,linear,1,1.0,108
memory,200.0,,StandardizedKNNOutcomeTable,H_linear_2,linear,1,1.0,108
memory,200.0,,RawMemoryOutcomeTable,H_linear_3,linear,1,1.0,108
memory,200.0,,StandardizedKNNOutcomeTable,H_linear_3,linear,1,1.0,108
memory,200.0,,RawMemoryOutcomeTable,H_linear_4,linear,1,1.0,108
memory,200.0,,StandardizedKNNOutcomeTable,H_linear_4,linear,1,1.0,108
memory,200.0,,RawMemoryOutcomeTable,H_linear_5,linear,1,0.985,108
memory,200.0,,StandardizedKNNOutcomeTable,H_linear_5,linear,1,0.985,108
memory,200.0,,RawMemoryOutcomeTable,H_target_6,target,2,0.995,108
memory,200.0,,StandardizedKNNOutcomeTable,H_target_6,target,2,0.995,108
memory,200.0,,RawMemoryOutcomeTable,H_target_7,target,2,1.0,108
memory,200.0,,StandardizedKNNOutcomeTable,H_target_7,target,2,1.0,108
memory,200.0,,RawMemoryOutcomeTable,H_target_8,target,2,0.995,108
memory,200.0,,StandardizedKNNOutcomeTable,H_target_8,target,2,0.995,108
memory,200.0,,RawMemoryOutcomeTable,H_target_9,target,2,0.485,108
memory,200.0,,StandardizedKNNOutcomeTable,H_target_9,target,2,0.485,108
memory,200.0,,RawMemoryOutcomeTable,H_target_10,target,2,0.995,108
memory,200.0,,StandardizedKNNOutcomeTable,H_target_10,target,2,0.995,108
memory,200.0,,RawMemoryOutcomeTable,H_piecewise_15,piecewise,4,0.48,108
memory,200.0,,StandardizedKNNOutcomeTable,H_piecewise_15,piecewise,4,0.48,108
memory,200.0,,RawMemoryOutcomeTable,H_piecewise_18,piecewise,4,0.48,108
memory,200.0,,StandardizedKNNOutcomeTable,H_piecewise_18,piecewise,4,0.48,108
memory,200.0,,RawMemoryOutcomeTable,H_multiobj_24,multiobj,7,1.0,108
memory,200.0,,StandardizedKNNOutcomeTable,H_multiobj_24,multiobj,7,1.0,108
memory,500.0,,RawMemoryOutcomeTable,H_linear_0,linear,1,0.995,432
memory,500.0,,StandardizedKNNOutcomeTable,H_linear_0,linear,1,0.995,432
memory,500.0,,RawMemoryOutcomeTable,H_linear_1,linear,1,1.0,432
memory,500.0,,StandardizedKNNOutcomeTable,H_linear_1,linear,1,1.0,432
memory,500.0,,RawMemoryOutcomeTable,H_linear_2,linear,1,1.0,432
memory,500.0,,StandardizedKNNOutcomeTable,H_linear_2,linear,1,1.0,432
memory,500.0,,RawMemoryOutcomeTable,H_linear_3,linear,1,1.0,432
memory,500.0,,StandardizedKNNOutcomeTable,H_linear_3,linear,1,1.0,432
memory,500.0,,RawMemoryOutcomeTable,H_linear_4,linear,1,1.0,432
memory,500.0,,StandardizedKNNOutcomeTable,H_linear_4,linear,1,1.0,432
memory,500.0,,RawMemoryOutcomeTable,H_linear_5,linear,1,0.985,432
memory,500.0,,StandardizedKNNOutcomeTable,H_linear_5,linear,1,0.985,432
memory,500.0,,RawMemoryOutcomeTable,H_target_6,target,2,0.995,432
memory,500.0,,StandardizedKNNOutcomeTable,H_target_6,target,2,0.995,432
memory,500.0,,RawMemoryOutcomeTable,H_target_7,target,2,1.0,432
memory,500.0,,StandardizedKNNOutcomeTable,H_target_7,target,2,1.0,432
memory,500.0,,RawMemoryOutcomeTable,H_target_8,target,2,0.995,432
memory,500.0,,StandardizedKNNOutcomeTable,H_target_8,target,2,0.995,432
memory,500.0,,RawMemoryOutcomeTable,H_target_9,target,2,0.485,432
memory,500.0,,StandardizedKNNOutcomeTable,H_target_9,target,2,0.485,432
memory,500.0,,RawMemoryOutcomeTable,H_target_10,target,2,0.995,432
memory,500.0,,StandardizedKNNOutcomeTable,H_target_10,target,2,0.995,432
memory,500.0,,RawMemoryOutcomeTable,H_piecewise_15,piecewise,4,0.48,432
memory,500.0,,StandardizedKNNOutcomeTable,H_piecewise_15,piecewise,4,0.48,432
memory,500.0,,RawMemoryOutcomeTable,H_piecewise_18,piecewise,4,0.48,432
memory,500.0,,StandardizedKNNOutcomeTable,H_piecewise_18,piecewise,4,0.48,432
memory,500.0,,RawMemoryOutcomeTable,H_multiobj_24,multiobj,7,1.0,432
memory,500.0,,StandardizedKNNOutcomeTable,H_multiobj_24,multiobj,7,1.0,432
memory,1000.0,,RawMemoryOutcomeTable,H_linear_0,linear,1,0.995,972
memory,1000.0,,StandardizedKNNOutcomeTable,H_linear_0,linear,1,0.995,972
memory,1000.0,,RawMemoryOutcomeTable,H_linear_1,linear,1,1.0,972
memory,1000.0,,StandardizedKNNOutcomeTable,H_linear_1,linear,1,1.0,972
memory,1000.0,,RawMemoryOutcomeTable,H_linear_2,linear,1,1.0,972
memory,1000.0,,StandardizedKNNOutcomeTable,H_linear_2,linear,1,1.0,972
memory,1000.0,,RawMemoryOutcomeTable,H_linear_3,linear,1,1.0,972
memory,1000.0,,StandardizedKNNOutcomeTable,H_linear_3,linear,1,1.0,972
memory,1000.0,,RawMemoryOutcomeTable,H_linear_4,linear,1,1.0,972
memory,1000.0,,StandardizedKNNOutcomeTable,H_linear_4,linear,1,1.0,972
memory,1000.0,,RawMemoryOutcomeTable,H_linear_5,linear,1,0.985,972
memory,1000.0,,StandardizedKNNOutcomeTable,H_linear_5,linear,1,0.985,972
memory,1000.0,,RawMemoryOutcomeTable,H_target_6,target,2,0.995,972
memory,1000.0,,StandardizedKNNOutcomeTable,H_target_6,target,2,0.995,972
memory,1000.0,,RawMemoryOutcomeTable,H_target_7,target,2,1.0,972
memory,1000.0,,StandardizedKNNOutcomeTable,H_target_7,target,2,1.0,972
memory,1000.0,,RawMemoryOutcomeTable,H_target_8,target,2,0.995,972
memory,1000.0,,StandardizedKNNOutcomeTable,H_target_8,target,2,0.995,972
memory,1000.0,,RawMemoryOutcomeTable,H_target_9,target,2,0.49,972
memory,1000.0,,StandardizedKNNOutcomeTable,H_target_9,target,2,0.49,972
memory,1000.0,,RawMemoryOutcomeTable,H_target_10,target,2,0.995,972
memory,1000.0,,StandardizedKNNOutcomeTable,H_target_10,target,2,0.995,972
memory,1000.0,,RawMemoryOutcomeTable,H_piecewise_15,piecewise,4,0.485,972
memory,1000.0,,StandardizedKNNOutcomeTable,H_piecewise_15,piecewise,4,0.485,972
memory,1000.0,,RawMemoryOutcomeTable,H_piecewise_18,piecewise,4,0.485,972
memory,1000.0,,StandardizedKNNOutcomeTable,H_piecewise_18,piecewise,4,0.485,972
memory,1000.0,,RawMemoryOutcomeTable,H_multiobj_24,multiobj,7,1.0,972
memory,1000.0,,StandardizedKNNOutcomeTable,H_multiobj_24,multiobj,7,1.0,972
memory,2000.0,,RawMemoryOutcomeTable,H_linear_0,linear,1,0.995,1944
memory,2000.0,,StandardizedKNNOutcomeTable,H_linear_0,linear,1,0.995,1944
memory,2000.0,,RawMemoryOutcomeTable,H_linear_1,linear,1,1.0,1944
memory,2000.0,,StandardizedKNNOutcomeTable,H_linear_1,linear,1,1.0,1944
memory,2000.0,,RawMemoryOutcomeTable,H_linear_2,linear,1,1.0,1944
memory,2000.0,,StandardizedKNNOutcomeTable,H_linear_2,linear,1,1.0,1944
memory,2000.0,,RawMemoryOutcomeTable,H_linear_3,linear,1,1.0,1944
memory,2000.0,,StandardizedKNNOutcomeTable,H_linear_3,linear,1,1.0,1944
memory,2000.0,,RawMemoryOutcomeTable,H_linear_4,linear,1,1.0,1944
memory,2000.0,,StandardizedKNNOutcomeTable,H_linear_4,linear,1,1.0,1944
memory,2000.0,,RawMemoryOutcomeTable,H_linear_5,linear,1,0.935,1944
memory,2000.0,,StandardizedKNNOutcomeTable,H_linear_5,linear,1,0.935,1944
memory,2000.0,,RawMemoryOutcomeTable,H_target_6,target,2,0.995,1944
memory,2000.0,,StandardizedKNNOutcomeTable,H_target_6,target,2,0.995,1944
memory,2000.0,,RawMemoryOutcomeTable,H_target_7,target,2,1.0,1944
memory,2000.0,,StandardizedKNNOutcomeTable,H_target_7,target,2,1.0,1944
memory,2000.0,,RawMemoryOutcomeTable,H_target_8,target,2,0.995,1944
memory,2000.0,,StandardizedKNNOutcomeTable,H_target_8,target,2,0.995,1944
memory,2000.0,,RawMemoryOutcomeTable,H_target_9,target,2,0.485,1944
memory,2000.0,,StandardizedKNNOutcomeTable,H_target_9,target,2,0.485,1944
memory,2000.0,,RawMemoryOutcomeTable,H_target_10,target,2,0.98,1944
memory,2000.0,,StandardizedKNNOutcomeTable,H_target_10,target,2,0.98,1944
memory,2000.0,,RawMemoryOutcomeTable,H_piecewise_15,piecewise,4,0.495,1944
memory,2000.0,,StandardizedKNNOutcomeTable,H_piecewise_15,piecewise,4,0.495,1944
memory,2000.0,,RawMemoryOutcomeTable,H_piecewise_18,piecewise,4,0.495,1944
memory,2000.0,,StandardizedKNNOutcomeTable,H_piecewise_18,piecewise,4,0.495,1944
memory,2000.0,,RawMemoryOutcomeTable,H_multiobj_24,multiobj,7,1.0,1944
memory,2000.0,,StandardizedKNNOutcomeTable,H_multiobj_24,multiobj,7,1.0,1944
