ood_type,ood_scale,mechanism,utility,utility_type,utility_complexity,match
near_OOD,1.5,ResidualCompressor,H_linear_5,linear,1,0.66
near_OOD,1.5,RawMemoryOutcomeTableFull,H_linear_5,linear,1,0.96
near_OOD,1.5,PrototypeOutcomeTable,H_linear_5,linear,1,0.96
near_OOD,1.5,AEPCompressor,H_target_6,target,2,0.64
near_OOD,1.5,ResidualCompressor,H_target_6,target,2,0.665
near_OOD,1.5,RawMemoryOutcomeTableFull,H_target_6,target,2,1.0
near_OOD,1.5,PrototypeOutcomeTable,H_target_6,target,2,1.0
near_OOD,1.5,AEPCompressor,H_target_7,target,2,0.7825
near_OOD,1.5,ResidualCompressor,H_target_7,target,2,0.96
near_OOD,1.5,RawMemoryOutcomeTableFull,H_target_7,target,2,0.9975
near_OOD,1.5,PrototypeOutcomeTable,H_target_7,target,2,0.9975
near_OOD,1.5,AEPCompressor,H_target_8,target,2,0.755
near_OOD,1.5,ResidualCompressor,H_target_8,target,2,0.8175
near_OOD,1.5,RawMemoryOutcomeTableFull,H_target_8,target,2,0.965
near_OOD,1.5,PrototypeOutcomeTable,H_target_8,target,2,0.965
near_OOD,1.5,AEPCompressor,H_target_9,target,2,0.45
near_OOD,1.5,ResidualCompressor,H_target_9,target,2,0.47
near_OOD,1.5,RawMemoryOutcomeTableFull,H_target_9,target,2,0.4975
near_OOD,1.5,PrototypeOutcomeTable,H_target_9,target,2,0.46
near_OOD,1.5,AEPCompressor,H_target_10,target,2,0.765
near_OOD,1.5,ResidualCompressor,H_target_10,target,2,0.6875
near_OOD,1.5,RawMemoryOutcomeTableFull,H_target_10,target,2,0.9925
near_OOD,1.5,PrototypeOutcomeTable,H_target_10,target,2,0.9925
near_OOD,1.5,AEPCompressor,H_piecewise_15,piecewise,4,0.5275
near_OOD,1.5,ResidualCompressor,H_piecewise_15,piecewise,4,0.545
near_OOD,1.5,RawMemoryOutcomeTableFull,H_piecewise_15,piecewise,4,0.515
near_OOD,1.5,PrototypeOutcomeTable,H_piecewise_15,piecewise,4,0.5075
near_OOD,1.5,AEPCompressor,H_piecewise_18,piecewise,4,0.5375
near_OOD,1.5,ResidualCompressor,H_piecewise_18,piecewise,4,0.5425
near_OOD,1.5,RawMemoryOutcomeTableFull,H_piecewise_18,piecewise,4,0.515
near_OOD,1.5,PrototypeOutcomeTable,H_piecewise_18,piecewise,4,0.5075
near_OOD,1.5,AEPCompressor,H_multiobj_24,multiobj,7,1.0
near_OOD,1.5,ResidualCompressor,H_multiobj_24,multiobj,7,1.0
near_OOD,1.5,RawMemoryOutcomeTableFull,H_multiobj_24,multiobj,7,1.0
near_OOD,1.5,PrototypeOutcomeTable,H_multiobj_24,multiobj,7,1.0
far_OOD,3.0,AEPCompressor,H_linear_0,linear,1,0.545
far_OOD,3.0,ResidualCompressor,H_linear_0,linear,1,0.585
far_OOD,3.0,RawMemoryOutcomeTableFull,H_linear_0,linear,1,0.985
far_OOD,3.0,PrototypeOutcomeTable,H_linear_0,linear,1,0.985
far_OOD,3.0,AEPCompressor,H_linear_1,linear,1,0.61
far_OOD,3.0,ResidualCompressor,H_linear_1,linear,1,0.6625
far_OOD,3.0,RawMemoryOutcomeTableFull,H_linear_1,linear,1,0.9875
far_OOD,3.0,PrototypeOutcomeTable,H_linear_1,linear,1,0.9875
far_OOD,3.0,AEPCompressor,H_linear_2,linear,1,0.7175
