task,n_steps,PolicyClone,PrototypeOutcome,AEP,GoalInference,SafeFallback,BestSingle,OracleHindsight,MetaMLP,Cyber,BestCapital,BestCapitalMargin,ExpectedBest,TaxonomyMatches
Task_A,150,0.40666666626930237,0.5666666626930237,0.753333330154419,0.273333340883255,0.14666666090488434,0.753333330154419,0.9599999785423279,0.27333334,0.56666666,AEP,0.18666666746139526,PolicyClone,False
Task_B,150,0.35333332419395447,0.8733333349227905,0.9133333563804626,0.12666666507720947,0.35333332419395447,0.9133333563804626,1.0,0.12666667,0.87333333,AEP,0.04000002145767212,AEP,True
Task_C,150,0.40666666626930237,0.5666666626930237,0.753333330154419,0.36666667461395264,0.07999999821186066,0.753333330154419,1.0,0.36666667,0.56666666,AEP,0.18666666746139526,PrototypeOutcome,False
Task_D,150,0.006666666828095913,0.013333333656191826,0.013333333656191826,0.03999999910593033,0.013333333656191826,0.013333333656191826,0.07999999821186066,0.04,0.013333334,GoalInference,0.026666665449738503,GoalInference,True
