task,n_steps,oracle_gain_over_bestsingle,switching_opportunity_rate,oracle_reward,bestsingle_reward
Task_A,150,0.20666666328907013,0.9666666666666667,0.9599999785423279,0.753333330154419
Task_B,150,0.08666666597127914,0.98,1.0,0.9133333563804626
Task_C,150,0.24666666984558105,0.9666666666666667,1.0,0.753333330154419
Task_D,150,0.06666667014360428,0.9866666666666667,0.07999999821186066,0.013333333656191826
