ood_type,mean_nn_distance,p50_nn_distance,p95_nn_distance,p99_nn_distance,k,local_outcome_table_variance_mean,oracle_action_entropy_nn,nn_best_action_0_frac,nn_best_action_1_frac,nn_best_action_2_frac
ID,1.2018155100226686,1.1355671882629395,1.7297695875167847,1.898821067810059,5,0.2770393490791321,0.8275070178089423,0.501187648456057,0.03800475059382423,0.46080760095011875
near_OOD,3.1299536836968467,2.78318452835083,5.384368896484375,7.692495918273926,5,0.571130096912384,1.0221568908908008,0.4418052256532066,0.16152019002375298,0.39667458432304037
far_OOD,9.245734120774438,8.123046875,16.394765853881836,23.467418289184575,5,0.8093063831329346,1.0884158935692225,0.39429928741092635,0.32779097387173395,0.27790973871733965
