step,allocator,cost_normalized_regret
201,CyberAllocator,0.0
202,CyberAllocator,0.0
203,CyberAllocator,0.010199490025498725
204,CyberAllocator,0.0
205,CyberAllocator,0.0
206,CyberAllocator,0.010349482525873708
207,CyberAllocator,0.0
208,CyberAllocator,0.0
209,CyberAllocator,0.0
210,CyberAllocator,0.010549472526373681
211,CyberAllocator,0.010599470026498675
212,CyberAllocator,0.0
213,CyberAllocator,0.0
214,CyberAllocator,0.0
215,CyberAllocator,0.0
216,CyberAllocator,0.0
217,CyberAllocator,0.0
218,CyberAllocator,0.0
219,CyberAllocator,0.010999450027498626
220,CyberAllocator,0.011049447527623619
221,CyberAllocator,0.011099445027748612
222,CyberAllocator,0.0
223,CyberAllocator,0.0
224,CyberAllocator,0.011249437528123594
225,CyberAllocator,0.0
226,CyberAllocator,0.0
227,CyberAllocator,0.0
228,CyberAllocator,0.0
229,CyberAllocator,0.011499425028748561
230,CyberAllocator,0.011549422528873556
231,CyberAllocator,0.01159942002899855
232,CyberAllocator,0.011649417529123544
233,CyberAllocator,0.011699415029248537
234,CyberAllocator,0.011749412529373532
235,CyberAllocator,0.011799410029498525
236,CyberAllocator,0.01184940752962352
237,CyberAllocator,0.011899405029748513
238,CyberAllocator,0.011949402529873506
239,CyberAllocator,0.011999400029998499
240,CyberAllocator,0.012049397530123495
241,CyberAllocator,0.012099395030248488
242,CyberAllocator,0.012149392530373481
243,CyberAllocator,0.012199390030498476
244,CyberAllocator,0.012249387530623468
245,CyberAllocator,0.012299385030748462
246,CyberAllocator,0.012349382530873457
247,CyberAllocator,0.012399380030998448
248,CyberAllocator,0.012449377531123443
249,CyberAllocator,0.012499375031248436
250,CyberAllocator,0.0
251,CyberAllocator,0.0
252,CyberAllocator,0.0
253,CyberAllocator,0.0
254,CyberAllocator,0.0
255,CyberAllocator,0.0127993600319984
256,CyberAllocator,0.0
257,CyberAllocator,0.0
258,CyberAllocator,0.0
259,CyberAllocator,0.0
260,CyberAllocator,0.0
261,CyberAllocator,0.013099345032748363
262,CyberAllocator,0.013149342532873356
263,CyberAllocator,0.0
264,CyberAllocator,0.0
265,CyberAllocator,0.0
266,CyberAllocator,0.0
267,CyberAllocator,0.013399330033498325
268,CyberAllocator,0.0
269,CyberAllocator,0.0
270,CyberAllocator,0.013549322533873306
271,CyberAllocator,0.0135993200339983
272,CyberAllocator,0.0
273,CyberAllocator,0.0
274,CyberAllocator,0.0
275,CyberAllocator,0.0
276,CyberAllocator,0.0
277,CyberAllocator,0.0
278,CyberAllocator,0.0
279,CyberAllocator,0.013999300034998248
280,CyberAllocator,0.014049297535123243
281,CyberAllocator,0.01409929503524824
282,CyberAllocator,0.0
283,CyberAllocator,0.0
284,CyberAllocator,0.014249287535623219
285,CyberAllocator,0.0
286,CyberAllocator,0.0
287,CyberAllocator,0.0
288,CyberAllocator,0.0
289,CyberAllocator,0.01449927503624819
290,CyberAllocator,0.0
291,CyberAllocator,0.0
292,CyberAllocator,0.0
293,CyberAllocator,0.0
294,CyberAllocator,0.0
295,CyberAllocator,0.0
296,CyberAllocator,0.0
297,CyberAllocator,0.0
298,CyberAllocator,0.0
299,CyberAllocator,0.0
300,CyberAllocator,0.01504924753762312
301,CyberAllocator,0.015099245037748114
302,CyberAllocator,0.015149242537873106
303,CyberAllocator,0.015199240037998099
304,CyberAllocator,0.015249237538123092
305,CyberAllocator,0.015299235038248088
306,CyberAllocator,0.015349232538373081
307,CyberAllocator,0.015399230038498076
308,CyberAllocator,0.01544922753862307
309,CyberAllocator,0.015499225038748064
310,CyberAllocator,0.015549222538873055
311,CyberAllocator,0.015599220038998052
312,CyberAllocator,0.015649217539123045
313,CyberAllocator,0.015699215039248038
314,CyberAllocator,0.01574921253937303
315,CyberAllocator,0.015799210039498027
316,CyberAllocator,0.015849207539623017
317,CyberAllocator,0.015899205039748013
318,CyberAllocator,0.015949202539873007
319,CyberAllocator,0.015999200039998
320,CyberAllocator,0.016049197540122993
321,CyberAllocator,0.0
322,CyberAllocator,0.0
323,CyberAllocator,0.016199190040497975
324,CyberAllocator,0.0
325,CyberAllocator,0.0
326,CyberAllocator,0.0
327,CyberAllocator,0.0
328,CyberAllocator,0.0
329,CyberAllocator,0.016499175041247937
330,CyberAllocator,0.0
331,CyberAllocator,0.0
332,CyberAllocator,0.0
