step,allocator,cumulative_regret
227,CyberAllocator,79.0
228,CyberAllocator,79.0
229,CyberAllocator,80.0
230,CyberAllocator,81.0
231,CyberAllocator,82.0
232,CyberAllocator,83.0
233,CyberAllocator,84.0
234,CyberAllocator,85.0
235,CyberAllocator,86.0
236,CyberAllocator,87.0
237,CyberAllocator,88.0
238,CyberAllocator,89.0
239,CyberAllocator,90.0
240,CyberAllocator,91.0
241,CyberAllocator,92.0
242,CyberAllocator,93.0
243,CyberAllocator,94.0
244,CyberAllocator,95.0
245,CyberAllocator,96.0
246,CyberAllocator,97.0
247,CyberAllocator,98.0
248,CyberAllocator,99.0
249,CyberAllocator,100.0
250,CyberAllocator,100.0
251,CyberAllocator,100.0
252,CyberAllocator,100.0
253,CyberAllocator,100.0
254,CyberAllocator,100.0
255,CyberAllocator,101.0
256,CyberAllocator,101.0
257,CyberAllocator,101.0
258,CyberAllocator,101.0
259,CyberAllocator,101.0
260,CyberAllocator,101.0
261,CyberAllocator,102.0
262,CyberAllocator,103.0
263,CyberAllocator,103.0
264,CyberAllocator,103.0
265,CyberAllocator,103.0
266,CyberAllocator,103.0
267,CyberAllocator,104.0
268,CyberAllocator,104.0
269,CyberAllocator,104.0
270,CyberAllocator,105.0
271,CyberAllocator,106.0
272,CyberAllocator,106.0
273,CyberAllocator,106.0
274,CyberAllocator,106.0
275,CyberAllocator,106.0
276,CyberAllocator,106.0
277,CyberAllocator,106.0
278,CyberAllocator,106.0
279,CyberAllocator,107.0
280,CyberAllocator,108.0
281,CyberAllocator,109.0
282,CyberAllocator,109.0
283,CyberAllocator,109.0
284,CyberAllocator,110.0
285,CyberAllocator,110.0
286,CyberAllocator,110.0
287,CyberAllocator,110.0
288,CyberAllocator,110.0
289,CyberAllocator,111.0
290,CyberAllocator,111.0
291,CyberAllocator,111.0
292,CyberAllocator,111.0
293,CyberAllocator,111.0
294,CyberAllocator,111.0
295,CyberAllocator,111.0
296,CyberAllocator,111.0
297,CyberAllocator,111.0
298,CyberAllocator,111.0
299,CyberAllocator,111.0
300,CyberAllocator,112.0
301,CyberAllocator,113.0
302,CyberAllocator,114.0
303,CyberAllocator,115.0
304,CyberAllocator,116.0
305,CyberAllocator,117.0
306,CyberAllocator,118.0
307,CyberAllocator,119.0
308,CyberAllocator,120.0
309,CyberAllocator,121.0
310,CyberAllocator,122.0
311,CyberAllocator,123.0
312,CyberAllocator,124.0
313,CyberAllocator,125.0
314,CyberAllocator,126.0
315,CyberAllocator,127.0
316,CyberAllocator,128.0
317,CyberAllocator,129.0
318,CyberAllocator,130.0
319,CyberAllocator,131.0
320,CyberAllocator,132.0
321,CyberAllocator,132.0
322,CyberAllocator,132.0
323,CyberAllocator,133.0
324,CyberAllocator,133.0
325,CyberAllocator,133.0
326,CyberAllocator,133.0
327,CyberAllocator,133.0
328,CyberAllocator,133.0
329,CyberAllocator,134.0
330,CyberAllocator,134.0
331,CyberAllocator,134.0
332,CyberAllocator,134.0
333,CyberAllocator,134.0
334,CyberAllocator,134.0
335,CyberAllocator,134.0
336,CyberAllocator,134.0
337,CyberAllocator,134.0
338,CyberAllocator,134.0
339,CyberAllocator,134.0
340,CyberAllocator,134.0
341,CyberAllocator,134.0
342,CyberAllocator,134.0
343,CyberAllocator,134.0
344,CyberAllocator,134.0
345,CyberAllocator,135.0
346,CyberAllocator,135.0
347,CyberAllocator,135.0
348,CyberAllocator,135.0
349,CyberAllocator,136.0
350,CyberAllocator,137.0
351,CyberAllocator,138.0
352,CyberAllocator,139.0
353,CyberAllocator,140.0
354,CyberAllocator,141.0
355,CyberAllocator,142.0
356,CyberAllocator,143.0
357,CyberAllocator,144.0
358,CyberAllocator,145.0
359,CyberAllocator,146.0
360,CyberAllocator,147.0
361,CyberAllocator,148.0
362,CyberAllocator,149.0
363,CyberAllocator,150.0
364,CyberAllocator,151.0
365,CyberAllocator,152.0
366,CyberAllocator,153.0
367,CyberAllocator,154.0
368,CyberAllocator,155.0
369,CyberAllocator,156.0
370,CyberAllocator,157.0
371,CyberAllocator,158.0
372,CyberAllocator,159.0
373,CyberAllocator,160.0
374,CyberAllocator,161.0
375,CyberAllocator,162.0
376,CyberAllocator,163.0
377,CyberAllocator,164.0
378,CyberAllocator,165.0
379,CyberAllocator,166.0
380,CyberAllocator,166.0
381,CyberAllocator,166.0
382,CyberAllocator,166.0
383,CyberAllocator,167.0
384,CyberAllocator,168.0
385,CyberAllocator,168.0
386,CyberAllocator,169.0
387,CyberAllocator,169.0
388,CyberAllocator,170.0
389,CyberAllocator,170.0
390,CyberAllocator,170.0
391,CyberAllocator,170.0
392,CyberAllocator,170.0
393,CyberAllocator,171.0
394,CyberAllocator,171.0
395,CyberAllocator,171.0
396,CyberAllocator,171.0
397,CyberAllocator,171.0
398,CyberAllocator,171.0
399,CyberAllocator,171.0
400,CyberAllocator,171.0
401,CyberAllocator,171.0
402,CyberAllocator,171.0
403,CyberAllocator,171.0
404,CyberAllocator,171.0
405,CyberAllocator,171.0
406,CyberAllocator,171.0
407,CyberAllocator,171.0
408,CyberAllocator,171.0
409,CyberAllocator,171.0
410,CyberAllocator,171.0
411,CyberAllocator,171.0
412,CyberAllocator,171.0
413,CyberAllocator,171.0
414,CyberAllocator,171.0
415,CyberAllocator,171.0
416,CyberAllocator,171.0
417,CyberAllocator,171.0
418,CyberAllocator,171.0
419,CyberAllocator,171.0
420,CyberAllocator,171.0
421,CyberAllocator,171.0
422,CyberAllocator,171.0
423,CyberAllocator,171.0
424,CyberAllocator,171.0
425,CyberAllocator,171.0
426,CyberAllocator,171.0
427,CyberAllocator,171.0
428,CyberAllocator,171.0
429,CyberAllocator,171.0
430,CyberAllocator,171.0
431,CyberAllocator,171.0
432,CyberAllocator,171.0
433,CyberAllocator,171.0
434,CyberAllocator,171.0
435,CyberAllocator,172.0
436,CyberAllocator,172.0
437,CyberAllocator,172.0
438,CyberAllocator,172.0
439,CyberAllocator,172.0
440,CyberAllocator,172.0
441,CyberAllocator,172.0
442,CyberAllocator,172.0
443,CyberAllocator,172.0
444,CyberAllocator,172.0
445,CyberAllocator,173.0
446,CyberAllocator,173.0
447,CyberAllocator,173.0
448,CyberAllocator,173.0
449,CyberAllocator,173.0
450,CyberAllocator,173.0
451,CyberAllocator,174.0
452,CyberAllocator,175.0
453,CyberAllocator,175.0
454,CyberAllocator,175.0
455,CyberAllocator,175.0
456,CyberAllocator,175.0
457,CyberAllocator,176.0
458,CyberAllocator,176.0
459,CyberAllocator,176.0
460,CyberAllocator,176.0
461,CyberAllocator,176.0
462,CyberAllocator,177.0
463,CyberAllocator,177.0
464,CyberAllocator,177.0
465,CyberAllocator,178.0
466,CyberAllocator,178.0
467,CyberAllocator,178.0
468,CyberAllocator,178.0
469,CyberAllocator,178.0
470,CyberAllocator,179.0
471,CyberAllocator,179.0
472,CyberAllocator,179.0
473,CyberAllocator,180.0
474,CyberAllocator,180.0
475,CyberAllocator,180.0
476,CyberAllocator,181.0
477,CyberAllocator,182.0
478,CyberAllocator,182.0
479,CyberAllocator,182.0
480,CyberAllocator,183.0
481,CyberAllocator,184.0
482,CyberAllocator,185.0
483,CyberAllocator,186.0
484,CyberAllocator,187.0
485,CyberAllocator,187.0
486,CyberAllocator,188.0
487,CyberAllocator,189.0
488,CyberAllocator,190.0
489,CyberAllocator,191.0
490,CyberAllocator,192.0
491,CyberAllocator,193.0
492,CyberAllocator,194.0
493,CyberAllocator,195.0
494,CyberAllocator,196.0
495,CyberAllocator,197.0
496,CyberAllocator,198.0
497,CyberAllocator,199.0
498,CyberAllocator,200.0
499,CyberAllocator,201.0
500,CyberAllocator,201.0
501,CyberAllocator,201.0
502,CyberAllocator,201.0
503,CyberAllocator,201.0
504,CyberAllocator,201.0
505,CyberAllocator,201.0
506,CyberAllocator,201.0
507,CyberAllocator,201.0
508,CyberAllocator,201.0
509,CyberAllocator,201.0
510,CyberAllocator,201.0
511,CyberAllocator,201.0
512,CyberAllocator,201.0
513,CyberAllocator,201.0
514,CyberAllocator,201.0
515,CyberAllocator,201.0
516,CyberAllocator,201.0
517,CyberAllocator,201.0
518,CyberAllocator,201.0
519,CyberAllocator,201.0
520,CyberAllocator,201.0
521,CyberAllocator,201.0
522,CyberAllocator,201.0
523,CyberAllocator,201.0
524,CyberAllocator,202.0
525,CyberAllocator,202.0
526,CyberAllocator,202.0
527,CyberAllocator,202.0
528,CyberAllocator,202.0
529,CyberAllocator,202.0
530,CyberAllocator,202.0
531,CyberAllocator,202.0
532,CyberAllocator,202.0
533,CyberAllocator,203.0
534,CyberAllocator,203.0
535,CyberAllocator,203.0
536,CyberAllocator,203.0
537,CyberAllocator,203.0
538,CyberAllocator,203.0
539,CyberAllocator,203.0
540,CyberAllocator,204.0
541,CyberAllocator,205.0
542,CyberAllocator,206.0
543,CyberAllocator,207.0
544,CyberAllocator,208.0
545,CyberAllocator,209.0
546,CyberAllocator,210.0
547,CyberAllocator,211.0
548,CyberAllocator,212.0
549,CyberAllocator,213.0
550,CyberAllocator,214.0
551,CyberAllocator,215.0
552,CyberAllocator,216.0
553,CyberAllocator,217.0
554,CyberAllocator,218.0
555,CyberAllocator,219.0
556,CyberAllocator,220.0
557,CyberAllocator,221.0
558,CyberAllocator,222.0
559,CyberAllocator,223.0
560,CyberAllocator,223.0
561,CyberAllocator,223.0
562,CyberAllocator,223.0
563,CyberAllocator,223.0
564,CyberAllocator,223.0
565,CyberAllocator,223.0
566,CyberAllocator,223.0
567,CyberAllocator,223.0
568,CyberAllocator,223.0
569,CyberAllocator,223.0
570,CyberAllocator,223.0
571,CyberAllocator,223.0
572,CyberAllocator,224.0
573,CyberAllocator,224.0
574,CyberAllocator,224.0
575,CyberAllocator,224.0
576,CyberAllocator,224.0
577,CyberAllocator,224.0
578,CyberAllocator,224.0
579,CyberAllocator,224.0
580,CyberAllocator,224.0
581,CyberAllocator,225.0
582,CyberAllocator,225.0
583,CyberAllocator,225.0
584,CyberAllocator,225.0
585,CyberAllocator,225.0
586,CyberAllocator,225.0
587,CyberAllocator,225.0
588,CyberAllocator,225.0
589,CyberAllocator,225.0
590,CyberAllocator,225.0
591,CyberAllocator,225.0
592,CyberAllocator,225.0
593,CyberAllocator,225.0
594,CyberAllocator,225.0
595,CyberAllocator,226.0
596,CyberAllocator,226.0
597,CyberAllocator,226.0
598,CyberAllocator,226.0
599,CyberAllocator,226.0
