eval_seed,BestSingleCapital,UniformPortfolio,RandomAllocator,MetaMLPAllocator,FeedbackControlledAllocator,OracleHindsight,delta_cyber_vs_bs,delta_mlp_vs_bs
43,0.5966666666666667,0.35,0.35333333333333333,0.595,0.5933333333333334,0.753000020980835,-0.0033333333333332993,-0.0016666666666667052
44,0.59,0.40166666666666667,0.385,0.585,0.5883333333333334,0.7459999918937683,-0.0016666666666665941,-0.0050000000000000044
45,0.5833333333333334,0.38,0.35333333333333333,0.2833333333333333,0.24,0.7540000081062317,-0.3433333333333334,-0.30000000000000004
46,0.605,0.3883333333333333,0.39666666666666667,0.27,0.29,0.7519999742507935,-0.315,-0.33499999999999996
47,0.6283333333333333,0.37333333333333335,0.335,0.6233333333333333,0.6233333333333333,0.7549999952316284,-0.0050000000000000044,-0.0050000000000000044
